str_no_string|NO STRING!
str_npc6_signup|You will not be disappointed, you know, I would have liked to continue fighting the English but I was knocked out. I could have done something and killed some more and saved at least one comrade.
str_npc7_signup|How could I refuse? The danger does not scare me.
str_npc8_signup|A mercenary company? That is fine, provided that we collect enough loot and that I am often offered the opportunity to fight.
str_npc9_signup|It's very good, I do not believe in coincidences. I think we are in the right place at the right timem as our Lord wills it. And if my place is to give my life to save another I accept it, such is my Oath of Chivalry that I would not be with the Dauphin, but here in this humble tavern. This oath is only purer than if the dauphin himself had given me an accolade as an anonymous knight.
str_npc10_signup|It will be a pleasure to join you.
str_npc11_signup|Well, it's the same thing, except that it's up to you to pay me right?
str_npc12_signup|Of course, if you happen to be hurt I can get you back on your feet.
str_npc13_signup|It's understood, I'm following you ....
str_npc14_signup|I'm in!
str_npc15_signup|It will be a pleasure to join you.
str_npc16_signup|You're right, I can stick a dagger in your enemy, if you need me to. To me, gold is my passion, and it is found most often on the noble pigs who are seen within brothels.
str_npc1_signup_2|I will follow you.
str_npc2_signup_2|I have a sharp mind, I am at your service.
str_npc3_signup_2|I think you will see that I am a major asset within the group.
str_npc4_signup_2|It is more than thanks to my horses that I learned to ride, I am an excellent rider. And if you give me the means, your enemies will learn to fear me. I have such a strong rage in me that I will not give them a chance to escape. I will sow terror and torment in their ranks.
str_npc5_signup_2|As long as you do not fail in your duty by giving me food, paying me and avoiding sending me a battle that is a lost cause, I am at your service. But I warn you, I will not do anything inconsistent with my beliefs.
str_npc6_signup_2|Captain, let me use my talents by your side. I have no fear of dying, if I have to face your enemies without armor, and even nude. As long as I drank all my booze, you'll see that's how I'm the best at the battle.
str_npc7_signup_2|I will finally be able to live without fearing the guard and the jails, you will not regret it I can find a group of fugitives who tries to hide his tracks, I think you would find me useful, and I win my keep especially when I do not need to hunt for my dinner as an outlaw.
str_npc8_signup_2|I agree.
str_npc9_signup_2|I see no shame in having to obey the orders of an experienced captain even if he is not of noble blood. On the contrary, may you have the determination of soul and you'll the strength of one hundred lions.
str_npc10_signup_2|You won't regret your choice.
str_npc11_signup_2|I do not care in what manner we go about it, as long as we take care of all these looters and bandits along the way, I will follow you.
str_npc12_signup_2|You can count on me, but I warn you, I will not tolerate indecent behavior in your company.
str_npc13_signup_2|We will accomplish feats.
str_npc14_signup_2|I get stronger everyday through rigorous training. I burn with the desire to get rid of these pigs, and the atrocities in this war only make me stronger and comfort me in my convictions.
str_npc15_signup_2|I will always be there when the need arises.
str_npc16_signup_2|And as you know I can convince a man to do what I want, I could sow the ideas that you desire in the minds of your enemies, and even sleep with them for a while, to prove to you my power of persuasion.
str_npc1_signup_response_1|I am sure you can be useful to our cause, noble knight.
str_npc2_signup_response_1|That would be excellent and we would be happy to take you along.
str_npc3_signup_response_1|Um, that will do the trick.
str_npc4_signup_response_1|Very well. I'll be glad to have you with us.
str_npc5_signup_response_1|Well, then you'll be useful to us.
str_npc6_signup_response_1|Gather your things, we'll get started.
str_npc7_signup_response_1|I will hire you, a tracker and a hunter will be of use to me.
str_npc8_signup_response_1|This will do the trick, but try not to make fuss.
str_npc9_signup_response_1|I'll hire you, but do not quote too many passages during the voyage, if you please young lord, the life of a warrior is not that sophisticated.
str_npc10_signup_response_1|You will be useful to us.
str_npc11_signup_response_1|It sounds like you'll be useful. You are hired.
str_npc12_signup_response_1|I welcome you among us.
str_npc13_signup_response_1|Good enough. Pack your things and be ready to move out.
str_npc14_signup_response_1|Good. You sound like just what we need.
str_npc15_signup_response_1|It is with pleasure that I hire you.
str_npc16_signup_response_1|Very tempting. I'll hire you.
str_npc1_signup_response_2|Forgive me, I do not wish to hire you.
str_npc2_signup_response_2|Forgive me, I do not wish to hire you.
str_npc3_signup_response_2|Actually, I do not want to hire you.
str_npc4_signup_response_2|Unfortunately, I have no room for you.
str_npc5_signup_response_2|Forgive me, I do not wish to hire you.
str_npc6_signup_response_2|I do not need a drunkard, look elsewhere.
str_npc7_signup_response_2|You will only be a source of trouble, goodbye.
str_npc8_signup_response_2|All in all, I do not want to hire you.
str_npc9_signup_response_2|Do not begrudge me, but I do not wish to hire you.
str_npc10_signup_response_2|All in all, I do not want to hire you.
str_npc11_signup_response_2|Forgive me, but we have enough men for the moment.
str_npc12_signup_response_2|On second thought, I do not want to hire you.
str_npc13_signup_response_2|On second thought, I do not want to hire you.
str_npc14_signup_response_2|On second thought, I do not want to hire you.
str_npc15_signup_response_2|To be honest, I do not want to hire you.
str_npc16_signup_response_2|Pretty girl, you walk in front of your company and troubadours will soon come to town? Get out of here.
str_npc1_payment|I am coming with you but I would first like an advance of {reg3} crowns for down payment to my pay.
str_npc2_payment|I'm coming with you but I would need {reg3} crowns first.
str_npc3_payment|.
str_npc4_payment|Thank you, but before leaving, would you have the extreme kindness to lend me {reg3} crowns? I would like to recover some items at {s20} that I had to give up to survive while waiting for employment.
str_npc5_payment|I'm coming with you, but if you can, I'd like to start with an advance of {reg3} crowns so that I can pay off my debts.
str_npc6_payment|.
str_npc7_payment|I'm leaving with you, but I need {reg3} crowns first. You understand, I have to pay the innkeeper or I will be thrown in jail.
str_npc8_payment|I'm coming with you, but first I'd like a bonus of {reg3} crowns to pay off the innkeeper who, during my last glorious battle in his tavern, brought the guard, and then the other guys got away. I had promise I will pay the damage within the week.
str_npc9_payment|Understood Captain, but I must first ask you for a bonus of {reg3} crowns to get a horse, otherwise I would be little use as a knight.
str_npc10_payment|Very kind to you, I am coming with you but I would like an advance of {reg3} crowns first.
str_npc11_payment|Very good {messire/my lady}, and in this respect I estimate my first pay at {reg3} crowns. I know that some soldiers can serve weeks without being paid, but I'm not the type to be fooled.
str_npc12_payment|.
str_npc13_payment|Before committing myself, I must settle the debt that I contracted here, it will not be said that the great Mathieu de Bourges leaves without clearing his slate, and well ... it is {reg3} crowns in all .
str_npc14_payment|Before leaving I would first like to leave here with a full belly and a lot of wine.
str_npc15_payment|Very kind to you, I am coming with you but I would like an advance of {reg3} crowns first.
str_npc16_payment|This is good news, my lord. How about sealing our deal with a small payment? {reg3} crowns is a reasonable sum for a start.
str_npc1_payment_response|Very well, here's {reg3} crowns. Now, fall in with the rest.
str_npc2_payment_response|Of course, here's {reg3} crowns for your expenses.
str_npc3_payment_response|.
str_npc4_payment_response|Certainly. Here's {reg3} crowns.
str_npc5_payment_response|Well... here's {reg3} crowns, then. Your first payment.
str_npc6_payment_response|.
str_npc7_payment_response|Here's your {reg3} crowns, hunter.
str_npc8_payment_response|Here are your {reg3} crowns, and more glorious battles in taverns but against real enemies, that's for sure.
str_npc9_payment_response|That shouldn't be a problem, here's {reg3} crowns.
str_npc10_payment_response|Of course. Here, {reg3} crowns.
str_npc11_payment_response|Very well, here's {reg3} crowns. Make yourself ready. We leave soon.
str_npc12_payment_response|.
str_npc13_payment_response|Of course, here's {reg3} crowns. Make ready to leave soon.
str_npc14_payment_response|All right, here's {reg3} crowns. You are most welcome in our company.
str_npc15_payment_response|All right, here's {reg3} crowns. Glad to have you with us.
str_npc16_payment_response|All right, here's {reg3} crowns for you. Make yourself ready.
str_npc1_morality_speech|Oy -- boss. Please don't take this the wrong way, but it's a hard life and it's a bit much that we {s21}. Take a little more care in the future, captain, if you don't mind my saying.
str_npc2_morality_speech|I hope you don't mind my saying so, but I am rather dismayed to see us {s21}. Perhaps I ought to be more open to such things for such is the way of war, but if we could show some mercy to our foes as is chivalrous, I'd sleep better.
str_npc3_morality_speech|I do not know if I should say this, {sir/madame}, but I admit that I am somewhat surprised that we {s21}. I knew war was cruel, but not like this. The bards and minstrels should have a word with me for the truths of this 'chivalrous' war.
str_npc4_morality_speech|Forgive me, but know that I do not appreciate this, {s21}. I am not very comfortable with the idea going that route.
str_npc5_morality_speech|Pardon me, captain. It is not good to {s21}. Your first duty is to the men in your command. The least they can expect is food, pay, the opportunity to loot, and that you not waste their lives needlessly.
str_npc6_morality_speech|Excuse me captain, but I did not expect this, {s21}.
str_npc7_morality_speech|Captain -- I do not like to see us {s21}. Such are the actions of a common bandit leader, with no regard for his followers.
str_npc8_morality_speech|Eh! I do not appreciate this, {s21}
str_npc9_morality_speech|Captain, that does not suit me, {s21}. I would be grateful if you would not overwhelm me in the future with a decision as stupid as the one I took in following you, know that I still believe in you despite this, I just wanted to tell you.
str_npc10_morality_speech|My apologies captain, I can not say that I like it, {s21}.
str_npc11_morality_speech|Excuse me, captain. It's not good that we {s21}. I've followed armies and warbands for 30 years, and the least the soldiers expect of a leader is to feed them, pay them, and do {his/her} best to keep their sorry skins intact as best {he/she} can.
str_npc12_morality_speech|{Sire/My Lady}, I do not like that, {s21}. I hope you will consider it in the future.
str_npc13_morality_speech|Captain, if we can avoid it, I'd prefer not to {s21}. I do not want to see our reputation destroyed.
str_npc14_morality_speech|Not to beat around the bush, I did not like it at all, {s21}.
str_npc15_morality_speech|{Sir/Madame} -- just so you know my opinion, any commander with sense will not let his company {s21}.I hope you don't mind me speaking so bluntly.
str_npc16_morality_speech|Captain, I don't like it, {S21}. So many scholarships that will not be searched, and the price of the toilets are so exorbitant in France.
str_npc1_2ary_morality_speech|{Messire/Madame}, I do not mind, {s21} To live and fight another day seems to me more than sensible.
str_npc2_2ary_morality_speech|{Sir/Madame}, that does not satisfy me, {s21}. I do not want a bad reputation.
str_npc3_2ary_morality_speech|{Sir/Madame}, I think your decision was good, {s21}
str_npc4_2ary_morality_speech|Please {Sir/Madame}, what does it matter what others say on this subject, {s21}. It is essential to adopt in these times of trouble, the trick to allow us to resist and triumph when the time comes.
str_npc5_2ary_morality_speech|[No secondary moral code]
str_npc6_2ary_morality_speech|Captain, you can do this, {s21}, but I'd rather not be involved in this case.
str_npc7_2ary_morality_speech|[No secondary moral code]
str_npc8_2ary_morality_speech|[No secondary moral code]
str_npc9_2ary_morality_speech|{Sir/Madame}, this causes me distress, {s21}. A captain of your rank should show a greater sense of honor at all times.
str_npc10_2ary_morality_speech|Captain, I can not say I really appreciate that, {s21}. You should treat your men well, they will repay you with interest.
str_npc11_2ary_morality_speech|[No secondary moral code]
str_npc12_2ary_morality_speech|[No secondary moral code]
str_npc13_2ary_morality_speech|[No secondary moral code]
str_npc14_2ary_morality_speech|Captain -- you should not let it bother you that you {s21}. Armies are made to do their leaders' bidding, and hardships are part of an earnest mercenary's career.
str_npc15_2ary_morality_speech|You know, friend {playername}, it's none too reassuring to see how you just {s21}. If you can break your word to them, you can break your word to me, is how I figure it.
str_npc16_2ary_morality_speech|Captain -- just so you know, it's no problem by me that we {s21}. We do what we need to do to live, and they'd do the same to us if they were in our shoes.
str_npc1_personalityclash_speech|{Sire/Madame}, don't take offense, but {s11} tires me. {s11}'s' behaviour is most uncourteous.
str_npc2_personalityclash_speech|{Sire/Madame}, as you can see, I respect all life. The use of violence without reason is unbearable.
str_npc3_personalityclash_speech|Captain, in my opinion, {s11} is a strange man, he behaves like he's possessed by the demon.
str_npc4_personalityclash_speech|{Sire/Madame}, my family was most respected in my country. In spite of everything, {s11} openly disrespects me and sows the doubt on the values which I defend.
str_npc5_personalityclash_speech|Captain, can you give me a moment? {s11} tires me, his behaviour is not honorable, and he does not hesitate to throw me unsavoury glances, simply because I have already happened to talk to him about respect for others and to mind his behaviour while looting.
str_npc6_personalityclash_speech|Please excuse me, captain, but I cannot remain silent any longer. It's that moron {s11}, that is why I am to stay sober before the battles. I told him that I accept if he left his bow and his sword at the camp, every man knows what is and what is not good for him, it is not his role to judge others.
str_npc7_personalityclash_speech|Chief, I'm doing my best to withstand the disgusting habits of my companions, but {s11} is unbearable.
str_npc8_personalityclash_speech|I want you to know that I can no longer care for {s11}.
str_npc9_personalityclash_speech|{Sire/Madame}, {s11} is a wretch who has no respect for others. I am tired of suffering his behavior.
str_npc10_personalityclash_speech|Excuse me captain, I do not like to disturb you with these things, but I wanted to let you know that I could not stand this Hermance anymore.
str_npc11_personalityclash_speech|I beg your pardon, Captain, but I can not remain silent. This man, {s11}, is a real savage, devoid of the simplest civility.
str_npc12_personalityclash_speech|{Sire/Madame}, {s11} behaves with perversion, there are words I cannot say, and acts I cannot condone, moreover I fear that his evil is not curable, do you understand what I'm saying? It would be necessary place him in an appropriate establishment, not in a company of armed men.
str_npc13_personalityclash_speech|Captain, {s11} exhausts me, I have to tell you.
str_npc14_personalityclash_speech|Friend, I expressed my opinion on the revolution, I speak too much to the camp certainly, but we must ceaselessly forge the ideas of the people, so that he continues to be the defensive spear against the invader.
str_npc15_personalityclash_speech|Excuse me, I hope it does not bother you that I give you my opinion, but this girl, {s11}, puts the group in danger. She is a little savage, disrespectful of the authority and fundamental principles of the army.
str_npc16_personalityclash_speech|Hey captain, you must know, {s11} behaves in a manner beyond belief, he presents me with a purse saying that he would like me to share his bed, tell him that I am not a simple convoy runner. if I happen to sleep with men, it is because they are my targets and I earn much more than a simple pass, I thought this person was intelligent, but he's a real lout.
str_npc1_personalityclash_speech_b|There are some people of low nobility like me, and others are mainly from rural areas, but all of them must respect soldiers.
str_npc2_personalityclash_speech_b|{s11} has no respect.
str_npc3_personalityclash_speech_b|It bothers me to tell you about this, but it's enough, he shows his genitals to us, and then, strangely looks at horses, should I say more?
str_npc4_personalityclash_speech_b|It is true that I feel an unwavering hatred against the unjustified consequences of the war. But I can not allow anyone to denigrate my family, let alone indulgent words about what a peasant woman would do to satisfy her man. If this continues, it could be that the consequences are unfortunate.
str_npc5_personalityclash_speech_b|He have no right to doubt me. I suggested him to leave us if the life of an honourable warrior seems to displease him. I hope you do not mind such a remark.
str_npc6_personalityclash_speech_b|I am well aware that it was a big weakness to pretend to be dead during the fight that cost the lives of my comrades when I was in my last company, but do I have to die so as not to have to live with that? And is it my fault if I have been rageful since?
str_npc7_personalityclash_speech_b|These are the manners of petty bourgeois, who never ceases to call me savage.
str_npc8_personalityclash_speech_b|{s11} makes me angry, and I told you to warn your men against this, that nobody angers me, or I will cut them in half from the top of the skull to their groin.
str_npc9_personalityclash_speech_b|If this continues, I will end up telling him harshly what I think. And if we are to come to blows, we will not have to rely on me for an apology.
str_npc10_personalityclash_speech_b|It's nothing but a brigand who pretends to be a merchant, he tried to sell me my ration do you realize? I am a Weapon Master, and I am not an idiot who begins to try to sell me something that comes back to me and I would remind him that I am a Master.
str_npc11_personalityclash_speech_b|He did not have to retire alone to the camp for long hours, I asked him what he was doing and he told me to fuck off. I'm counting on you to tell him to be a little more respectful.
str_npc12_personalityclash_speech_b|{Sire/Madame}, imagine my dread to hear him put Beelzebub in his sentences while he urinates, and this is just one example, there is much worse, I rely on you to make your arrangements in a Christian way, as per example to abandon it on the way ... good evening {Sire/Madame}.
str_npc13_personalityclash_speech_b|Acts of bravery are laudable but there are other purposes that are quite valid. Personally, I never trust someone who only thinks of fighting.
str_npc14_personalityclash_speech_b|{s11} allowed insolent words to come out of his mouth. I will tell them, to him and to others, the next time he reduced to nothing all my efforts we will come to arms, I wanted you to know it .
str_npc15_personalityclash_speech_b|What's more, I suspect she's a thief. I saw her rummaging in my luggage, she fiddled with my schematics. Then, when I saw fit to intervene, she waved a knife in my direction. A wise captain would not allow her to stay in the group.
str_npc16_personalityclash_speech_b|But I warn you, if he tries even to touch me, I will kick him between his legs, and I swear he will struggle to get up. And if he tries to rape me I cut his throat. You are warned.
str_npc1_personalityclash2_speech|{Sire/Madame}, I'm tired of {s11} this low-ranking person attracts many problems, objects disappear and some fellowships go a little too far, I wanted you to know.
str_npc2_personalityclash2_speech|{Sire/Madame}, if that does not bother you, I'd rather not take part in the same fights than {s11}, after what he told me in the last battle.
str_npc3_personalityclash2_speech|{Messire/Madame}, Since I joined your group, I have tried to get used to your way of commanding and honoring the military code. If I happen to make a mistake from time to time, I hope you will not hold it against me.
str_npc4_personalityclash2_speech|{Messire/Madame}, I had the opportunity to exchange some words with {s11}, it was during the sharing of the spoils of the battle. Please inform her that when she speaks to me, she should be kind enough to respect me by not treating me disdainfully as a peasant.
str_npc5_personalityclash2_speech|Captain, I do not think I'm a sensitive soul, but I do not particularly like the way {s11} expresses himself, you have to hold his tongue.
str_npc6_personalityclash2_speech|Captain, did you notice {s11} during our last battle? It provoked the enemies fallen to the ground during the fight by making fun of their origins and their stupidity to measure against us.
str_npc7_personalityclash2_speech|{Gentleman/Noblelady}, I tried to make {s11} understand that he has to stop harassing me. Let him know that even if I have not done my military classes I do not need his advice. Tell him that if I want to fight like an old lady, I can learn it myself, my method of combat is the bow and the spear, not noble weapons, but effective weapons.
str_npc8_personalityclash2_speech|Hey boss! {s11} is about to reach my breaking pount, how many times will I have to repeat myself? Do not  anger me or there will be blood throughout your camp.
str_npc9_personalityclash2_speech|{Messire/Madame}, I hope you will not mind, but I think {s11} should be put back in its place. In the last battle, he cut me off to attack an enemy I had spotted. I can not admit such behavior, each man has a definite place.
str_npc10_personalityclash2_speech|Captain, I have a question for you. Are you the leader, or is it {s11}?
str_npc11_personalityclash2_speech|Captain, {s11} has no place among us. After this last battle, he moved away mumbling a few pagan incantations as he was searching the bodies for our loot.
str_npc12_personalityclash2_speech|{Messire/Madame}, I can no longer tolerate the blatant ignorance shown in {s11}'s actions.
str_npc13_personalityclash2_speech|Hello captain, {s11} is insane, is he not? During our last battle, I uttered some sympathetic words to our enemies. Following which, I was got a lesson from him!
str_npc14_personalityclash2_speech|Friend, {s11} abused his eloquence to slander and falsely charge and accuse those who were better than himself.
str_npc15_personalityclash2_speech|Captain, I have to express my doubts about the qualities of {s11}. We can not trust him.
str_npc16_personalityclash2_speech|Forgive me captain, {s11} may have been a very clever thief in the past, but he does not have the balls of a warrior, if you want my opinion.
str_npc1_personalityclash2_speech_b|The way she whistles cheerfully as she does it -- it puts a chill down my spine, it does.
str_npc2_personalityclash2_speech_b|While the enemies were pushing us away, I heard hurtful words. Next time, I'll listen to a spear pierce his buffet!
str_npc3_personalityclash2_speech_b|After our last victory, I started to inspect the bodies and I recovered the purse of an enemy. As soon as I picked it up, it was torn from my hands. If I had just been asked for it, I would have given it without a story.
str_npc4_personalityclash2_speech_b|I think I have proven myself in combat. It is true that I am down to earth, and I am proud of it. If she does not understand that the respect of the other is important, one of these days I will launch him a plank of poisonous remarks of which it is likely not to recover.
str_npc5_personalityclash2_speech_b|I hate people with a high opinion of themselves while denigrating those who say they are of a poor background.
str_npc6_personalityclash2_speech_b|It's a useless waste of time, and because of that an enemy almost cut off his arm if I was not there to kill him in time. I recommend you lecture him, I do not want to have to entrust my life to men of confidence, even drunk or sick when there is a fight every man must hold the rank and cover his comrades.
str_npc7_personalityclash2_speech_b|I'm counting on you to shut his mouth.
str_npc8_personalityclash2_speech_b|I did say that I should be respected, and I heard this moron insulting me about you, you are warned, if he does not shut up, I will not be able to control myself any longer.
str_npc9_personalityclash2_speech_b|I appreciate being determined to risk his life in the battles, but that will not be enough to make him a real fighter. He has not the blood of a loyal knight.
str_npc10_personalityclash2_speech_b|In this last battle, I saw that I was being shouted at. When I said leave me alone, I heard that I would be whipped. Captain, with all due respect, I want to make him taste my steel.
str_npc11_personalityclash2_speech_b|He told me it was a prayer of praise for victory, but I did not hear it that way. Captain, I do not want him to wake up the dead to torment us during the trip. I think you'd better get rid of him.
str_npc12_personalityclash2_speech_b|One should know that one should never take out his weapon with the left hand, it brings bad luck. I have seen him do it several times despite my warnings which no account is held. And each time I have to pray to ward off the spell, but meditate that I'm not always here to see it. If you wanted to exclude him from the group, you would be of service to us all.
str_npc13_personalityclash2_speech_b|When all the dust fell, {s11} turned to me, telling me not to provoke the wrath of heaven with my fits of pride and swearing. I told him that at least I had not hurt myself with my weapon accidentally as it happens to him regularly. On that, {s11} tried to hit me, it's intolerable.
str_npc14_personalityclash2_speech_b|It's a sign of a bad soul. He must behave as it should be with all people, otherwise I will shut his mouth off.
str_npc15_personalityclash2_speech_b|Captain, no one would testify to such a lack of respect for his companions. Her place is not in a company like ours, I hear that a caravan follower has quite its place among us, but from the fact that it participates in the battles I am puzzled..
str_npc16_personalityclash2_speech_b|After the last battle, I cut the throats of some dying enemies, but it was to avoid them suffering too long. I would not tolerate anyone taking me for a beast.
str_npc1_personalitymatch_speech|{Sir/Madame}. I must admit that {s11} is quite an admirable fellow from what I've seen of him these past days.
str_npc2_personalitymatch_speech|{Messire/Madame}, I just wanted to talk to you about {s11}. He is violent, he is an inveterate rascal, but having said that, I am proud that he is my companion.
str_npc3_personalitymatch_speech|Greetings, {sir/madame}. I've been wanting to tell you for some time that {s11} has caught my eye. Did he not fight bravely in our last battle?
str_npc4_personalitymatch_speech|Excuse me, {sir/madame}. I just wanted to say a word in praise of {s11}. He did well in that last battle.
str_npc5_personalitymatch_speech|That was a fine battle, {playername}! {s11} is a good soldier to have by our side in a fight.
str_npc6_personalitymatch_speech|Captain, sometimes I think of this constant hunt for the enemy that we have undertaken, and in that I support you. That said, I think that death is only a mild punishment for the atrocities of war.
str_npc7_personalitymatch_speech|Captain, I have been talking a lot with {s11}. We can blame him for a lot of things, but behind that appearance is a person who has suffered and thus a good person who can be counted on.
str_npc8_personalitymatch_speech|Ah ah! the last battle was glorious, leader, was not it? I appreciated that {s11}, caught in a destructive rage, fells three enemies at once next to me.
str_npc9_personalitymatch_speech|{Messire/Madame}, {s11} made a very good impression during our last battle. It is a pleasure to fight with him, and I am proud to have him with us, I hope you are of my opinion.
str_npc10_personalitymatch_speech|Captain, {s11} defends himself well, I have seen him make very good passes during the last fight, I would like to teach him some more to perfect himself.
str_npc11_personalitymatch_speech|Captain, a battle of this intensity can perforce men and make them perplexed. Finally, I'm talking about the survivors, but we beat them, right?
str_npc12_personalitymatch_speech|Great massacre, {sire/madame}, beautiful massacre, very necessary. I think {s11} shares my perplexity over these perpetual clashes.
str_npc13_personalitymatch_speech|{playername}, we can blame many things at {s11} but I think I understand it, and it is crazy to be crazy, he just suffocated and he simply created a world to him.
str_npc14_personalitymatch_speech|Friend, it's a pleasure to fight with braves like {s11}.
str_npc15_personalitymatch_speech|Captain, I exchanged a few words with {s11} after our last battle, and I can tell you that it is a great asset to have him with us.
str_npc16_personalitymatch_speech|Hey captain, I chatted with {s11} during the search of corpses left in our last battle.
str_npc1_personalitymatch_speech_b|His valor and chivalry are remarkable, and when it is possible for me to set up my company of mercenaries, I would like to convince him to accompany me.
str_npc2_personalitymatch_speech_b|With what I saw in the last battle, I think I can trust him to protect my back. However, I will still keep a hand on my purse.
str_npc3_personalitymatch_speech_b|I also admit that {s11}'s company is comforting, {Sire/ Madame}.
str_npc4_personalitymatch_speech_b|You did well to enlist him in the troop. He also understands the importance of respecting his brothers in arms, regardless of the past or the suffering of each, not like some I will not mention.
str_npc5_personalitymatch_speech_b|Our partner deserves his place in our company, we must rejoice to have him with us.
str_npc6_personalitymatch_speech_b|I must confess that {s11} is for me a source of comfort, and his wisdom enlightening. The only member who understands me and agrees to drink with me, just for that I am happy with his presence in our company.
str_npc7_personalitymatch_speech_b|When you will not need our services, she promised me that we would continue to see each other. I think we still have a lot to say and share.
str_npc8_personalitymatch_speech_b|It put me in the saddle from the start and it has ended well, very nice battle.
str_npc13_personalitymatch_speech_b|Even though I often prefer reserved people to extroverts, I could not help but notice his effort to hide his character behind his warlike attitude.
str_npc14_personalitymatch_speech_b|Remarkable, I saw him in battle, piercing the enemy from one end to the other, so much so that the tip of his sword came out of his ass.
str_npc15_personalitymatch_speech_b|War, like any other business, requires careful preparation. I can guarantee it, everyone will learn to say thank you.
str_npc16_personalitymatch_speech_b|He is a good person, if he withdraws alone in the forest at times, it is because he flees the violence and madness of men, and he has more affinity with nature wild, I find it very touching.
str_npc1_retirement_speech|I did not make the right choice by accompanying you, I have decided to leave you.
str_npc2_retirement_speech|The warrior's life is getting boring, I'm going to leave you.
str_npc3_retirement_speech|I'm afraid I have something to say, I think you're not made to be a captain. I will leave you, {Messire/madame}.
str_npc4_retirement_speech|{Messire/Madame}, I did my part of work with you with honor, but I must leave you. Too many differences have accumulated, too many contradictions to my beliefs in fighting the injustice of war.
str_npc5_retirement_speech|I fought with perseverance and devotion at your side. However, I feel that you are not the ideal companion. So I decided to leave you.
str_npc6_retirement_speech|I joined this company in the hope of continually confronting myself to death by fighting as many enemies as possible, even in excess, but this was not always the case. There are subtleties that escape me. I will have to leave you.
str_npc7_retirement_speech|I'm tired of this life, I miss my independence and being alone in the forest, so I'll have to leave you.
str_npc8_retirement_speech|I fought under your banner, with great success it seems to me. Nevertheless, your command is not always at my convenience, so I will have to leave you.
str_npc9_retirement_speech|{Messire/Madame}, we fought well together, these many victories gave us glory. On the other hand, I have some reservations about your way of ordering. I was hoping for a more subtle command from you. So I'm going to have to leave you here, but maybe we'll see each other again.
str_npc10_retirement_speech|I am tired of walking these lands up and down and up and down. I will leave you, good luck to you for the future.
str_npc11_retirement_speech|You have done me a great service by taking me into your group. But I'm afraid this life does not suit me anymore, so I'll leave you.
str_npc12_retirement_speech|I enjoyed fighting the devil under your orders. I have fulfilled all my part in your mission and part of mine. I widened my knowledge, but I warned you that I could not stand the hympie behaviors. So I decided to leave you.
str_npc13_retirement_speech|I'm going to leave you {my friend/madame}, not because I don't like you, but because I decided to change my life.
str_npc14_retirement_speech|Friend, I inform you that I wish to leave you. I intend to look for another group that would know more about looting and looking for all kinds of loot.
str_npc15_retirement_speech|Thank you for using my services, but I have not always agreed with all the decisions that have been made. I will have to leave you.
str_npc16_retirement_speech|I had a good time among your troops, but it's time I move on, I have to leave you. With my earnings, I intend to settle near a garrison of a rich castle, hoping to catch the attention of some officers, he will be keen to help a poor lady in the distress, if you understand what I mean, and too bad for their throats.
str_npc1_rehire_speech|It's good to see you again. I know we've had some differences of opinion in the past, but to tell you the truth, it's sad to admit, but it was within your company that I had the most enjoyment. Listen, if you would take me back under your orders, you can count on my commitment again.
str_npc2_rehire_speech|{Messire/Madame}, nice to see you again. But I confess you, I was looking for you. In short, far from your company nothing is better for me. I believe that my destiny is to fight for survival. So tell me, {Sire/Madame}, would you take me back to the band?
str_npc3_rehire_speech|Hello {Messire/Madame}, it's a pleasure to see you again. I'm afraid I have not made much progress since we left each other. Maybe the war is my only refuge, and I have to ask you if you would like to take me back with you?
str_npc4_rehire_speech|Hello {Messire/Madame}, it's been a while since we've seen each other. For my part, I have not managed to find a commitment worthy of the name. I thought you could hire me again. Your reputation is great and a lot of flattering words are circulating on you. It would be an honor for a seasoned peasant to fight again in your ranks.
str_npc5_rehire_speech|Captain, we hear nothing but praise for you. So I decided to come back here, in the hope that you still allow me to fight with you.
str_npc6_rehire_speech|It's good to see you again, Captain. Wherever I go, everyone is in awe of your course. For me, everything was not very rosy, I even had my throat that was dry more than three days, rather go to hell than relive such a situation. I was well within your troop, so will you allow me to serve you again?
str_npc7_rehire_speech|Leader! it's a great pleasure to see you again. Forgive what I was able to tell you when we separated. Would you accept me to come back?
str_npc8_rehire_speech|Hey {playername}! I wondered if you could forget the few hard words that we could exchange in the past and what all the bad languages could say about me. I miss this company, can I fight again with you?
str_npc9_rehire_speech|{Messire/Madame}, it's a delight to see you again. I undertook to serve under the orders of other companies, but I have only found a painful disappointment. None had the guts to cope in lower numbers. So I decided to meet you and see if you would let me join you again.
str_npc10_rehire_speech|Captain, it gives me pleasure to see you again. As you can see, I'm back. I believe that what I do best is to fight. So tell me, captain, are you still looking for good companions?
str_npc11_rehire_speech|Captain, it's a pleasure to see you again. Everyone says you have a great future. I left you but I realize that it was not so bad to eat to his fill, to have honest companions and to see the enemy flee at our sight. So, you would hire me again?
str_npc12_rehire_speech|{Messire/Madame}, an honest face like yours is a pleasure to see. This world is filled with liars and possessed who do not keep their promises, finally I was good with you. Do you agree that I reintegrate your ranks?
str_npc13_rehire_speech|Greetings {playername}, I was hoping to see you again someday. Wherever I go, I hear stories of your exploits and songs in your honor. I admit that I felt a bit of regret when our roads separated. I told myself that I could possibly fight once again at your side. Would you agree that we were riding and that we were drinking together for a while?
