dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Reportons cette prérogative jusqu'à ce que je prenne conseil auprès de mes sujets.
dlga_companion_personalityclash2_response:close_window.2|Pas le temps de m'occuper de vos querelles mesquines, cessez de m'importuner.
dlga_event_triggered:companion_personalityclash_b|{s5}
dlga_companion_personalityclash_b:companion_personalityclash_response|{s5}
dlga_companion_personalityclash_response:close_window|{s11} est un membre compétent, plus de querelle avec {reg11?elle:lui}.
dlga_companion_personalityclash_response:close_window.1|Dites à {s11} que je vous soutiens et {reg11?qu'elle:qu'il} devrait tenir sa langue.
dlga_companion_personalityclash_response:close_window.2|Pas de temps à perdre avec vos querelles mesquines, arrêtez de m'importuner.
dlga_event_triggered:companion_personalitymatch_b|{s5}
dlga_companion_personalitymatch_b:companion_personalitymatch_response|{s5}
dlga_companion_personalitymatch_response:close_window|Très bien.
dlga_event_triggered:companion_sisterly_advice|{s5}
dlga_companion_sisterly_advice:close_window|Merci.
dlga_companion_sisterly_advice:close_window.1|Je préférerais ne pas aborder de tels sujets.
dlga_event_triggered:companion_home_description|{s5}
dlga_companion_home_description:companion_home_description_2|Dites m'en plus.
dlga_companion_home_description:close_window|Nous n'avons pas le temps de discuter maintenant.
dlga_companion_home_description:close_window.1|Je préfère que mes compagnons ne me dérangent pas pour de telles futilités.
dlga_companion_home_description_2:companion_home_description_3|{s5}
dlga_companion_home_description_3:close_window|{s5}
dlga_event_triggered:rebel_thanks_answer|{s6}
dlga_rebel_thanks_answer:rebel_thanks_answer_2|Ce fut un honneur de me battre pour votre cause, {reg65?madame:seigneur}.
dlga_rebel_thanks_answer:rebel_thanks_answer_2.1|Vous pouvez compter sur ma loyauté, {reg65?madame:messire}.
dlga_rebel_thanks_answer_2:close_window|Cette vie d'aventurier passée à vos côtés me manquera, cependant mes obligations m'attendent. Alors adieu pour le moment, {playername}, j'espère vous revoir bientôt.
dlga_event_triggered:companion_political_grievance_response|{s21}
dlga_companion_political_grievance_response:close_window|Je prends note de votre avis.
dlga_event_triggered:companion_rejoin_response|Bien le Bonjour {s21}, alors que diriez-vous de vous joindre à moi ?
dlga_event_triggered:companion_rejoin_response.1|Eh bien {s21}, vous voilà enfin. J'ai parlé de votre revendication et me voilà en mesure de réintégrer la compagnie.
dlga_event_triggered:companion_rejoin_response.2|Eh bien {s21}, vous voilà enfin. {s11}. Voilà le reste de mon rapport par écrit.
dlga_event_triggered:companion_embassy_results|Ah {s21}, vous voilà enfin, je suis de retour de ma mission en {s31}. {s14}.
dlga_companion_embassy_results:companion_rejoin_response|Dans sa lettre, {s12} vous appelle {mon seigneur/ma noble dame}, ce qui implique la reconnaissance de votre titre de monarque indépendant.
dlga_companion_embassy_results:companion_rejoin_response.1|Dans sa lettre, {s12} fait simplement référence à vous en tant que {playername}, omettant tout titre, ce qui implique la non reconnaissance de votre droit à régner.
dlga_companion_embassy_results:companion_rejoin_response.2|{s12} indique que la trêve actuelle devrait suffire.
dlga_companion_embassy_results:companion_truce_confirm|{s12} indique qu'il souhaite une trêve de quarante jours.
dlga_companion_embassy_results:companion_rejoin_response.3|{s12} dit qu'il n'est pas d'accord pour conclure une paix.
dlga_companion_truce_confirm:companion_rejoin_response|Très bien, que cette trêve avec {s4} soit conclue.
dlga_companion_truce_confirm:companion_rejoin_response.1|À la réflexion, ce n'est peut-être pas dans notre intérêt.
dlga_companion_embassy_results:companion_rejoin_response.4|{s12} indique que vous avez déjà juré allégeance à un autre souverain.
dlga_companion_embassy_results:companion_rejoin_response.5|{s12} indique qu'il ne vous juge pas capable d'honorer vos obligations en tant que vassal et soupçonne votre offre de n'être qu'un stratagème.
dlga_companion_embassy_results:vassalage_offer_confirm|{s12} indique qu'il accepte votre offre de vassalité. Il vous accorde 30 jours pour le trouver, durant lesquels il ne vous déclarera pas la guerre.
dlga_vassalage_offer_confirm:companion_rejoin_response|Dites-lui que j'accepte ses conditions.
dlga_companion_rejoin_response:close_window|Bon retour parmi nous !
dlga_companion_rejoin_response:companion_rejoin_refused|Malheureusement, je ne peux pas encore vous reprendre.
dlga_companion_rejoin_refused:close_window|Soit, je vais régler certaines affaires, et je reviendrai dans quelques jours.
dlga_event_triggered:companion_rejoin_response.3|Souhaitez-vous que je vous rejoigne ?
dlga_event_triggered:close_window.1|Voilà que j'apperçois les murs de {s3}, et nous y sommes arrivés en toute sécurité. Prenez cette bourse de {reg3} écus, comme promis. J'espère avoir le plaisir de voyager à nouveau avec vous.
dlga_start:lord_start|Madame, je me réjouis de notre mariage, et à la première opportunité une grande fête sera organisée.{s12}
dlga_start:lord_start.1|Madame, si vous souhaitez m'épouser, nous pouvons organiser un banquet à {s4} afin d'échanger nos voeux devant les seigneurs du duché.
dlga_start:lord_start.2|Madame, j'en ai assez d'attendre que les seigneurs de ce duché se rassemblent. Venez avec moi à {s4} pour y échanger nos voeux.
dlga_start:lord_start.3|Madame, j'en ai assez d'attendre que les seigneurs de ce duché se rassemblent. Peut-être devrions nous saisir la prochaine opportunité pour nous marrier, dans la premiere grande salle d'honneur disponible.
dlga_start:lord_groom_vows|Madame, j'en ai assez d'attendre. Échangeons immédiatement nos voeux.
dlga_start:lord_groom_vows.1|Madame, vous voir est un plaisir, nous pourrions échanger nos voeux.
dlga_lord_groom_vows:female_pc_marriage_vow|Madame, devant cette assemblée en guise de témoins, je vous prends pour épouse afin de vous honorer, de vous chérir et de vous protéger. Puissions-nous être en bonne santé, riches et avoir des enfants.
dlga_female_pc_marriage_vow:lord_groom_wedding_complete|Je vous prends pour époux.
dlga_female_pc_marriage_vow:close_window|Attendez, je dois y réfléchir.
dlga_lord_groom_wedding_complete:close_window|Nous sommes maintenant mari et femme. Que la fête commence !
dlga_start:close_window.9|Très bien, vous avez marquer un point, je n'ai rien d'autre à dire.
dlga_start:close_window.10|Je vous en prie, ne vous gênez pas pour vous relever, j'aurai ainsi juste à vous renverser de nouveau. Je prendrai votre silence pour une excuse. Bonne journée à vous.
dlga_start:close_window.11|Très bien, vous avez gagné, je retire ce que j'ai dit. J'espère que vous êtes satisfait.
dlga_start:close_window.12|Ha, on fait moins le fanfaron, n'est-ce pas ? Maintenant laissez-moi tranquille.
dlga_start:close_window.13|Très bien, vous avez gagné. Que tous ceux présents en ce jour soient témoins que vous m'avez vaincu, et que je vais donc cesser de courtiser {s10}. Êtes-vous satisfait ?
dlga_start:close_window.14|Debout, tous les témoins présents aujourd'hui peuvent témoigner que je vous ai vaincu, et vous devez maintenant renoncer à coutiser {s10}. Je vais vous permettre une dernière visite pour faire vos adieux. Après cela, si vous persistez à essayer de la voir, tout le monde saura que vous êtes un homme de peu d'honneur.
dlga_start:player_siege_castle_commander_1|Si votre présence est hostile, nous n'avons rien à vous dire. Dans le cas contraire, nous pouvons discuter.
dlga_player_siege_castle_commander_1:player_siege_ask_surrender|Rendez-vous, votre situation est désespérée !
dlga_player_siege_castle_commander_1:close_window|Je tenais à vous saluer avant de partir.
dlga_player_siege_ask_surrender:player_siege_ask_surrender_treatment|Peut-être aurons-nous votre parole d'honneur que nous serons bien traités ?
dlga_player_siege_ask_surrender:player_siege_ask_leave_unmolested|Nous sommes prêts à vous laisser ce château et à partir loin d'ici si vous me donnez votre parole d'honneur que vous nous laisserez partir sans nous molester.
dlga_player_siege_ask_surrender:close_window|Nous rendre ? ^Je pense que vous serez tous morts avant que la vieillesse ne marque nos visages.
dlga_player_siege_ask_surrender_treatment:player_siege_ask_surrender_treatment_reject|Je ne vous promets rien, rendez-vous immédiatement ou préparez-vous à mourir !
dlga_player_siege_ask_surrender_treatment_reject:close_window|Bâtards, nous vous combattrons tous jusqu'au dernier !
dlga_player_siege_ask_surrender_treatment:player_siege_ask_surrender_treatment_accept|Nous vous échangerons contre une rançon et vos soldats vivront, je vous donne ma parole.
dlga_player_siege_ask_surrender_treatment_accept:close_window|Très bien alors, dans ces conditions je vous offre ma reddition. 
dlga_player_siege_ask_leave_unmolested:player_siege_ask_leave_unmolested_accept|Vous avez ma parole, vous pouvez quitter le château, personne ne vous attaquera.
dlga_player_siege_ask_leave_unmolested_accept:close_window|Parfait, alors nous vous laissons ce château. Vous avez gagné aujourd'hui mais nous nous reverrons.
dlga_player_siege_ask_leave_unmolested:player_siege_ask_leave_unmolested_reject|Inadmissible, je veux des prisonniers. 
dlga_player_siege_ask_leave_unmolested_reject:close_window|Alors nous défendrons ce château jusqu'à la mort. Cette discussion est close, adieu.
dlga_lord_prison_break:lord_prison_break_confirm|Je suis {venu/venue} vous sortir d'ici.
dlga_lord_prison_break:close_window|Peu importe, restez tranquille.
dlga_lord_prison_break_confirm:lord_prison_break_confirm_2|Dieu merci, je ne sais pas combien de temps j'aurais réussi à tenir bon ici.
dlga_lord_prison_break_confirm_2:lord_prison_break_confirm_3|Mais attendez, comment allons-nous nous enfuir ? Une fois cette porte franchie, la garnison sera à nos trousses. Mais il faut que vous le sachiez, j'ai très peu mangé ces derniers temps et ma force laisse à désirer.
dlga_lord_prison_break_confirm_3:lord_prison_break_confirm_4|Restez bien derrière moi et faites en sorte d'éviter tout combat.
dlga_lord_prison_break_confirm_3:lord_prison_break_confirm_4.1|Malgré votre fragilité, il va falloir prendre une arme pour m'aider.
dlga_lord_prison_break_confirm_3:close_window|En fait, restez en dehors de tout cela.
dlga_lord_prison_break_confirm_4:close_window|Allons-y !{s14}
dlga_start:freed_lord_answer|Je suis libre grâce à vous, merci.
dlga_freed_lord_answer:freed_lord_answer_1|Vous n'irez nulle part, à présent vous êtes mon prisonnier.
dlga_freed_lord_answer_1:close_window|Pour cela, un jour je mettrai votre tête sur une pique, bâtard !
dlga_freed_lord_answer:freed_lord_answer_2|Vous êtes libre d'aller où bon vous semble.
dlga_freed_lord_answer_2:close_window|Merci noble {seigneur/dame}, je n'oublie jamais ceux qui me rendent un service.
dlga_start:defeat_lord_answer|{s43}
dlga_defeat_lord_answer:defeat_lord_answer_1|Vous êtes désormais mon prisonnier.
dlga_defeat_lord_answer_1:close_window|Je suis à votre merci.
dlga_defeat_lord_answer:defeat_lord_answer_2|Vous vous êtes bien battu, vous êtes libre de partir.
dlga_defeat_lord_answer_2:close_window|{s43}
dlga_start:party_encounter_lord_hostile_attacker|{playername} !
dlga_start:party_encounter_lord_hostile_attacker.1|Halte !
dlga_party_encounter_lord_hostile_attacker:party_encounter_lord_hostile_attacker|{s42}
dlga_party_encounter_lord_hostile_attacker:party_encounter_lord_hostile_attacker_2|{s43}
dlga_party_encounter_lord_hostile_attacker_2:close_window|Nous nous battrons jusqu'à la mort !
dlga_party_encounter_lord_hostile_attacker_2:lord_recruit_1_relation|Attendez ! J'aimerais vous dire quelque chose en privé.
dlga_party_encounter_lord_hostile_attacker_2:party_encounter_offer_dont_fight|N'y a-t-il aucun moyen d'éviter cette bataille ? Je ne veux pas me battre avec vous. 
dlga_party_encounter_lord_hostile_attacker_2:close_window.1|N'attaquez pas, nous nous rendons !
dlga_party_encounter_offer_dont_fight:close_window|Je vous dois une faveur, n'est-ce-pas ? Pour cette fois je vous laisse partir.
dlga_party_encounter_offer_dont_fight:close_window.1|{s43}
dlga_start:lord_requests_recruitment|{s9}
dlga_lord_requests_recruitment:close_window|{s9}
dlga_lord_requests_recruitment:lord_requests_recruitment_refuse|{s9}
dlga_lord_requests_recruitment_refuse:close_window|{s9}
dlga_start:supported_pretender_talk|J'attends vos conseils, {playername}.
dlga_start:pretender_intro_1|Je vous connais ?
dlga_pretender_intro_1:pretender_intro_2|Mon nom est {playername}, pour vous servir.
dlga_pretender_intro_1:pretender_intro_2.1|Je suis {playername}, et mes exploits vous sont peut-être connus.
dlga_pretender_intro_2:pretender_intro_3|{s48}
dlga_pretender_intro_3:pretender_rebellion_cause_1|Je pensais que {s12} était dirigé par {s11} ?
dlga_start:pretender_start|Salutations, {playername}.
dlga_pretender_start:pretender_rebellion_cause_prelim|Pourriez-vous me rappeler votre histoire, {reg65?madame:messire} ?
dlga_pretender_rebellion_cause_prelim:pretender_rebellion_cause_1|Très bien, je vous raconte.
dlga_pretender_rebellion_cause_1:pretender_rebellion_cause_2|{s48}
dlga_pretender_rebellion_cause_2:pretender_rebellion_cause_3|{s48}
dlga_pretender_rebellion_cause_3:pretender_start|{s48}
dlga_pretender_start:pretender_discuss_rebellion_1|Je veux m'associer à votre cause et vous aider à revendiquer votre trône !
dlga_pretender_start:pretender_end|Excusez-moi, je dois partir à présent.
dlga_pretender_discuss_rebellion_1:pretender_discuss_rebellion_2a|Serez-vous vraiment à la hauteur pour cette tâche, {playername} ? Reconquérir mon trône ne sera pas une tâche facile. Les seigneurs de notre royaume ont tous prêté serment d'hommage à {s11}. De tels serments prêtés à un usurpateur ne sont, bien entendu, pas valables et nous pouvons nous attendre à ce que certains des seigneurs nous soutiennent, mais le combat qui nous attend s'annonce des plus difficiles.
dlga_pretender_discuss_rebellion_2a:pretender_discuss_rebellion_2|{s11}
dlga_pretender_discuss_rebellion_2:pretender_discuss_rebellion_3|Je pense être à la hauteur pour mener ce combat avec vous.
dlga_pretender_discuss_rebellion_2:pretender_end|Vous avez raison, je devrais peut-être y réfléchir un peu plus.
dlga_pretender_discuss_rebellion_3:close_window|Je suis convaincu de la sincérité du soutien que vous apportez à ma cause, {playername} et je vous en suis reconnaissant. Mais je pense que nous avons de faibles chances de réussir. Si vous pouvez gagner une renommée sur le champ de bataille et vous faire un nom en tant que grand commandant, alors nos amis n'hésiteront pas à se joindre à notre cause et nos ennemis se méfieront avant de sortir les armes contre nous. Lorsque ce jour viendra, je vous accompagnerai avec plaisir. Mais en attendant, il serait plus sage de ne pas défier {s11}, l'usurpateur. 
dlga_pretender_discuss_rebellion_3:close_window.1|N'avez-vous pas soutenu la cause de {s17} ? Vous devez avoir un très grand sens de la justice, c'est indéniable. Mais non merci, je ne rentrerai pas dans votre jeu.
dlga_pretender_discuss_rebellion_3:close_window.2|{playername}, vous êtes déjà lié par serment pour servir {s15}. Et donc, je ne peux pas vous autoriser à soutenir ma cause et laisser mes ennemis prétendre que je ne suis qu'une simple marionnette de {s16}. Non, si je suis destiné au trône de {s17}, je dois uniquement y parvenir grâce à la légitimité de ma cause et au soutien de mes sujets. Si vous voulez m'aider, vous devez en premier lieu rompre le serment que vous avez prêté à {s15}.
dlga_pretender_discuss_rebellion_3:close_window.3|Vous êtes un monarque en exercice, {messire/madame}. Si vous deviez me soutenir, je serais simplement votre marionnette et ce n'est pas possible.
dlga_pretender_discuss_rebellion_3:pretender_rebellion_ready|Vous êtes un guerrier compétent, {playername} et il ne fait aucun doute qu'avec votre renommée en tant que commandant et avec la légitimité de ma cause, les nobles et les braves gens du {s12} se rallieront à notre cause. Le temps est venu pour nous d'agir ! Je viendrai avec vous et tous les deux nous renverserons l'usurpateur {s11} et nous lui arracherons la couronne de ses mains ensanglantées. Mais en premier lieu, vous devez me prêter serment d'hommage et accepter que je sois votre {reg65?suzeraine:suzerain}.  
dlga_pretender_rebellion_ready:lord_give_oath_2|Il est temps de me rallier à votre cause, {reg3?madame:messire}.
dlga_pretender_rebellion_ready:pretender_end|Attendons encore un peu avant d'agir. 
dlga_lord_give_conclude_2:close_window|En avant, alors ! Notre première tâche consiste à s'emparer d'une forteresse et à persuader d'autres seigneurs de se joindre à notre cause. Prenez le commandement !
dlga_pretender_end:close_window|Adieu pour le moment, alors.
dlga_start:lord_event_choose_friend|J'ai entendu dire que vous vous êtes {lié/liée} d'amitié avec ce {s43} appelé {s6}. Croyez-moi, vous ne pouvez pas lui faire confiance. Vous devriez cesser cette fréquentation.
dlga_lord_event_choose_friend:lord_event_choose_friend_renounce|Je vous assure, je ne suis pas l'ami de {s6}.
dlga_lord_event_choose_friend_renounce:lord_pretalk|Bonne nouvelle, {playername}. Sans quoi, j'aurai des craintes pour votre sécurité. Si vous devez rencontrer {s6}, soyez sur vos gardes et ne croyez pas un mot de ce qu'il dit.
dlga_lord_event_choose_friend:lord_event_choose_friend_defend|{s6} est un homme d'honneur, vous n'avez aucun droit de lui parler de la sorte. 
dlga_lord_event_choose_friend_defend:lord_pretalk|À votre guise, {playername}. Vous devez être un idiot, mais un idiot loyal au demeurant. La loyauté de {s6} n'est peut-être pas si inébranlable, cependant...
dlga_lord_event_choose_friend:lord_event_choose_friend_neutral|Je ne veux pas être impliqué dans votre querelle avec {s6}.
dlga_lord_event_choose_friend_neutral:lord_pretalk|Hum, comme bon vous semble, {playername}. Mais gardez à l'esprit qu'{un homme/une femme} a besoin de se faire des amis dans ce monde et vous ne vous en ferez jamais si vous n'en tolérez aucun.
dlga_start:lord_start.4|Oui chère épouse ?
dlga_start:lord_start.5|Oui {messire/madame} ?
dlga_start:lord_start.6|C'est un enchantement de vous revoir.
dlga_start:lord_invite_player_monarch_1|Eh bien {playername}, je pardonne votre impudence à vous proclamer {duc/duchesse} et vous accueillerai avec tous les honneurs dus à l'un de mes vassaux. Pouvons-nous continuer et prêter serment d'allégeance ?
dlga_lord_invite_player_monarch_1:lord_invite_2|Oui, mon seigneur.
dlga_lord_invite_player_monarch_1:lord_enter_service_reject|Non, je serai bien incapable de prêter un tel serment.
dlga_start:lord_invite_1|{playername}, je vous attendais, j'ai eu vent de vos exploits. Oh ! On m'a tellement conté vos exploits et votre bravoure que ma décision fut rapide. Je savais que j'avais trouvé la personne digne de devenir mon vassal. 
dlga_lord_invite_1:lord_invite_2|Mes remerciements, votre proposition m'honore. 
dlga_lord_invite_1:lord_invite_2.1|C'est de voir ma vraie valeur reconnue.
dlga_lord_invite_2:lord_invite_3|Bien {playername}, oublions les formalités, allez-vous me prêter serment d'hommage ?
dlga_lord_invite_3:lord_give_oath_2|Certainement.
dlga_lord_invite_3:lord_enter_service_reject|Non, {s65}. Je ne puis pas vous servir prestement.
dlga_start:lord_female_pc_marriage_proposal|Madame, j'ai beaucoup réfléchi à notre dernière conversation. L'heure est venue de vous poser une question, me feriez-vous l'honneur de devenir mon épouse ?
dlga_lord_female_pc_marriage_proposal:lord_marriage_proposal_female_pc_next_step|Oui.
dlga_lord_female_pc_marriage_proposal:lord_female_pc_marriage_proposal_postponed|Permettez-moi d'y réfléchir.
dlga_lord_female_pc_marriage_proposal:lord_female_pc_marriage_proposal_rejected|Non, je ne pense pas que cela serait opportun.
dlga_lord_female_pc_marriage_proposal_postponed:lord_start|Bien sûr madame, prenez tout votre temps.
dlga_lord_female_pc_marriage_proposal_rejected:lord_female_pc_marriage_proposal_rejected_confirm|Vous voulez dire que vous refusez ma cour, madame ?
dlga_lord_female_pc_marriage_proposal_rejected_confirm:lord_female_pc_marriage_proposal_rejected_confirm_yes|Oui, tout à fait.
dlga_lord_female_pc_marriage_proposal_rejected_confirm:lord_female_pc_marriage_proposal_postponed|Non, vous vous méprenez. Il me faut juste un peu plus de temps pour y réfléchir.
dlga_lord_female_pc_marriage_proposal_rejected_confirm_yes:close_window|Et bien dans ce cas, permettez-moi de vous dire ceci, ces durs propos m'ont ouvert les yeux. Je m'accorde à penser qu'il ne serait pas opportun d'épouser une personne comme vous. Au revoir, madame.
dlga_lord_female_pc_marriage_proposal_rejected_confirm_yes:close_window.1|C'est votre droit, madame. Si vous veniez à changer d'avis, sachez que j'en serais ravi.
dlga_start:lord_start.7|Madame, vous revoir remplit mon coeur de joie.
dlga_start:lord_start.8|Madame, je suis toujours votre humble serviteur
dlga_start:lord_start.9|N'est-ce pas mon brave champion, {playername} !
dlga_start:lord_start.10|C'est bon de vous revoir {playername} !
dlga_start:lord_start.11|Nous nous rencontrons à nouveau, {playername}.
dlga_start:lord_meet_neutral_jeanne|Qui êtes-vous ? un chevalier ?
dlga_lord_meet_neutral_jeanne:lord_intro_jeanne|Je suis {playername}.
dlga_lord_meet_neutral_jeanne:lord_intro_jeanne.1|Je suis {playername}, madame... Pour vous servir.
dlga_lord_meet_neutral_jeanne:lord_intro_jeanne.2|Je suis {playername}, et je ne suis pas vraiment ça...
dlga_lord_intro_jeanne:lord_jeanne|La France a besoin d'hommes de guerre comme vous, entendez la voix des cieux et rejoignez cette bannière, ensemble nous libèrerons ce pays et tous ces gens qui souffrent, agissons maintenant.
dlga_lord_jeanne:lord_intro_jeanne_ber|Êtes-vous cette bergère dont tout le monde parle, Jeanne de Domrémy ?
dlga_lord_jeanne:lord_intro|Je suis ma propre bannière ou celle du roi.
dlga_lord_intro_jeanne_ber:lord_introjj|Eh bien, si je n'étais pas une bergère j'aurais pu m'offencer n'est-ce pas ? Allez-vous vous joindre à nous et livrer bataille contre les Anglais et les Bourguignons ?
dlga_lord_introjj:lord_introjj2|Avez-vous une action à suggérer ?
dlga_lord_introjj:lord_intro|Je choisirai mon camp quand l'heure viendra, pour le moment je me contente d'être neutre.
dlga_lord_introjj2:lord_intro|Oui, j'entends des voix, elles proviennent de Saint-Michel lui-même, il me dit qu'il faut reprendre les tourelles d'Orléans, il dit aussi que celui qui gardera les ponts qui donnent accès aux départements gagnera la guerre, mais assez parlé de ça pour le moment.
dlga_start:lord_meet_neutral_charles|Qui diable êtes-vous, un espion à la solde des Anglais ?
dlga_lord_meet_neutral_charles:lord_intro_charles|Je suis {playername}, mon noble Roi.
dlga_lord_meet_neutral_charles:lord_intro_charles.1|Je me nomme {playername}, Sire... Je ne suis point un espion, mais un simple combattant.
dlga_lord_meet_neutral_charles:lord_intro_charles.2|Je suis {playername}, vaillant combattant pour ma propre gloire...
dlga_lord_intro_charles:lord_intro|Fort bien... Nous avons besoin de combattants compétents, que vous dépensiez votre solde en boisson ou que vous vous battiez dans les rêgles de la chevalerie, l'essentiel est que vous soyez prêt à tuer des anglais.
dlga_start:lord_meet_neutral_henry|Qu'avons-nous là ? un Francais, un Bourguignon ? Ou peut-être un de ces soldats louant leur patriotisme au plus offrant ?... Parlez.
dlga_lord_meet_neutral_henry:lord_intro_henry|Je suis {playername}, mon Roi, un admirateur de la courronne d'Angleterre.
dlga_lord_meet_neutral_henry:lord_intro_henry.1|Je me nomme {playername}.
dlga_lord_meet_neutral_henry:lord_intro_henryusurpateur|Je suis {playername}, et vous etes ?
dlga_lord_meet_neutral_henry:lord_intro_henry.2|Je suis {playername}, vaillant combattant pour ma propre gloire... Et je loue mes services en effet... Cher.
dlga_lord_intro_henry:lord_intro|Certes...
dlga_lord_intro_henryusurpateur:lord_intro_henry|Qu'est ce donc que cette insolance ? surveillez vos manieres sauvage...
dlga_start:lord_meet_neutral_duc|Un Bourguignon que je ne connais pas... Présentez vos respects à votre Duc.
dlga_lord_meet_neutral_duc:lord_intro_duc|Je me nomme {playername}, puissant Duc.
dlga_lord_meet_neutral_duc:lord_intro_ducnorespet|Je suis {playername}, et vous vous méprenez Duc, je ne suis pas Bourguignon.
dlga_lord_meet_neutral_duc:lord_intro_ducnorespet.1|Je suis {playername}.
dlga_lord_intro_duc:lord_intro_insultduc|Je suppose que vous êtes un de ces mercenaires que j'ai enrôlé pour combattre ces chiens de Francais...
dlga_lord_intro_ducnorespet:lord_introducreponsse|D'habitude seuleument deux catégories de soldats s'adressent à moi, mes alliés et mes ennemis... Dans laquelle vous rangez-vous ?
dlga_lord_introducreponsse:lord_intro|Mais je suis avec vous grand Duc...
dlga_lord_introducreponsse:lord_intro.1|Je cherche juste du travail, je ne suis pas vraiment soldat et je ne ferai pas d'histoire.
dlga_lord_introducreponsse:lord_intro.2|Je travaille pour le plus offrant.
dlga_lord_intro_insultduc:lord_intro_insultduc2|Je pourrais bien être mercenaire, et travailler pour les Francais.
dlga_lord_intro_insultduc:lord_intro|C'est cela mon seigneur...
dlga_lord_intro_insultduc2:lord_intro|Quelle insolance... Les soldats de votre espèce ne sont que des charognes qui pillent les cadavres sur les champs de bataille, pour s'abreuver dans les tavernes... Cepandant puisque vos vies ont un prix et que j'ai besoin de vautours tels que vous, je ferai la sourde oreille.
dlga_start:lord_meet_neutral|Je vous connais ?
dlga_lord_meet_neutral:lord_intro|Je suis {playername}.
dlga_lord_meet_neutral:lord_intro.1|Je m'appelle {playername}, pour vous servir.
dlga_lord_intro:lord_start|{s11}
dlga_start:lord_meet_enemy|{s43}
dlga_lord_meet_enemy:lord_intro|Je suis {playername}, Messire.
dlga_lord_meet_enemy:lord_intro.1|Mon nom est {playername}, souvenez-vous en, vous allez entendre parler de moi.
dlga_start:lord_start.12|{s8}
dlga_lord_start:lord_start|{s42}
dlga_lair_quest_intermediate_1:lord_pretalk|Beau travail {playername}, tout le monde parle de votre audacieuse attaque. Nul doute qu'ils reviendront, ou d'autres comme eux, mais au moins pour un moment, vous donnez à ces terres un petit répit. Nous vous en sommes très reconnaissants.
dlga_lair_quest_intermediate_2:lord_pretalk|Bien {playername}, je suppose que certains de ces brigands qui vous ont échappé vont en faire payer le prix à des voyageurs pacifiques de ces terres. Tout de même, c'est bien d'avoir essayé.
dlga_lord_start:lord_generic_mission_completed|Votre chirurgien a réussi à convaincre mon ami et a l'opérer. Le sort est entre les mains de Dieu à présent et nous ne pouvons que prier pour son rétablissement. Quoiqu'il en soit, je vous suis reconnaissant de m'avoir accordé l'aide de votre chirurgien, {messire/madame}. Vous faites preuve de noblesse d'esprit. Je ne l'oublierai jamais. 
dlga_lord_start:wedding_ceremony_bride_vow|Puissent les cieux être témoins de ma volonté de vous offrir ma {s11} {s4} en mariage.
dlga_lord_start:lord_wedding_reschedule|Que c'est bon de vous voir, {playername}. Nous nous réjouissons pour la noce et dès que nous pouvons nous nous rassemblons pour la fête.{s12}
dlga_lord_wedding_reschedule:lord_start|Pas de problème, je peux attendre.
dlga_lord_wedding_reschedule:lord_return_dower|Je doute que ce mariage puisse être célébré, rendez-moi mon douaire.
dlga_lord_return_dower:close_window|Eh bien c'est votre droit, si vous n'accordez aucune confiance aux engagements de notre famille, prenez votre argent.
dlga_lord_start:lord_generic_mission_completed.1|Ah, notre petit complot contre {s3} a fonctionné à merveille, {playername}. Cet imbécile a perdu l'un de ses plus importants servants et il sera très bientôt à notre merci. Tenez, cette bourse contient {reg5} écus et je souhaite que vous la preniez. Vous méritez chaque piécette. Et, dois-je vous rappeler qu'il pourrait y en avoir bien plus à la clef si vous en prenez la décision.
dlga_lord_start:close_window|Vous n'avez pas été capable d'accomplir une tâche simple. J'avais tout préparé. Vous deviez simplement sacrifier un messager et nous serions en train de festoyer ce moment. Mais non ! Votre satané honneur vous en a empêché, n'est-ce pas ? 
dlga_lord_start:quest_meet_spy_in_enemy_town_completed|M'apportez-vous des nouvelles concernant la tâche que je vous ai confiée ? Vous voyez à laquelle je fais référence...
dlga_quest_meet_spy_in_enemy_town_completed:quest_meet_spy_in_enemy_town_completed_2|J'ai sur moi les rapports que vous vouliez.
dlga_quest_meet_spy_in_enemy_town_completed_2:lord_pretalk|Ah, parfait ! Qu'il est bon d'être entouré {d'hommes/de gens} compétents. Voici le paiement que je vous ai promis.
dlga_lord_start:lord_pretalk|Brillant travail, {playername} ! Quoi qu'il en soit, les nobles du {s13} réclament la guerre ! Bientôt, le temps viendra pour nous de récolter les fruits de notre dur labeur sur un terrain mûr pour le pillage. Écoutez-moi bien, cette guerre va nous rendre riches !
dlga_lord_start:lord_collect_debt_completed|Il m'a été rapporté que vous aviez fait la collecte de l'argent dont {s7} m'était redevable. Très bien, n'en parlons plus, je l'ai récupéré. Je crois vous avoir fait la promesse de vous donner le quart de la somme totale, hein ? Bien, ça vous fait {reg3} écus, ainsi si vous me donnez ma part, soit {reg4} écus, vous pouvez garder le reste.
dlga_lord_collect_debt_completed:lord_collect_debt_pay|Bien entendu. {reg4} écus, tout est là.
dlga_lord_collect_debt_pay:lord_pretalk|Je dois avouer que vous m'impressionnez, {playername}. J'avais perdu tout espoir de récupérer cet argent. Je vous prie d'accepter mes sincères remerciements.  
dlga_lord_collect_debt_completed:lord_collect_debt_no_pay|Je crains ne pas avoir l'argent sur moi, messire. 
