itm_no_item|OBJET INVALIDE
itm_nomad_robe|Robe de nomade
itm_nomad_robe_pl|Robes de nomade
itm_studded_leather_coat|Manteau en cuir clouté 
itm_studded_leather_coat_pl|Manteaux en cuir clouté 
itm_byrnie|Haubert
itm_byrnie_pl|Hauberts
itm_haubergeon_pl|Haubergeons
itm_lamellar_vest|Gilet lamellaire 
itm_lamellar_vest_pl|Gilets lamellaires
itm_lamellar_vest_khergit|Gilet lamellaire Wales
itm_lamellar_vest_khergit_pl|Gilets lamellaires Wales
itm_mail_shirt|Chemise de mailles 
itm_mail_shirt_pl|Chemises de mailles 
itm_mail_hauberk|Haubert de mailles 
itm_mail_hauberk_pl|Hauberts de mailles 
itm_mail_with_surcoat|Cotte de mailles avec surcot 
itm_mail_with_surcoat_pl|Cottes de mailles avec surcot 
itm_surcoat_over_mail|Surcot sur cotte de mailles 
itm_surcoat_over_mail_pl|Surcots sur cotte de mailles 
itm_brigandine_red_pl|Brigandines
itm_lamellar_armor|Armure lamellaire 
itm_lamellar_armor_pl|Armures lamellaires
itm_scale_armor|Armure d'écailles
itm_scale_armor_pl|Armures d'écailles
itm_banded_armor|Armure cerclée
itm_banded_armor_pl|Armures cerclées
itm_cuir_bouilli|Cuir bouilli
itm_cuir_bouilli_pl|Cuirs bouillis
itm_coat_of_plates|Cotte de plates
itm_coat_of_plates_pl|Cottes de plates
itm_coat_of_plates_red|Cotte de plates
itm_coat_of_plates_red_pl|Cottes de plates
itm_plate_armor|Armure de plate
itm_plate_armor_pl|Armures de plate
itm_black_armor|Amure noire
itm_black_armor_pl|Amures noires
itm_pelt_coat|Manteau de fourrure
itm_pelt_coat_pl|Manteaux de fourrure
itm_khergit_elite_armor|Armure d'élite Wales
itm_khergit_elite_armor_pl|Armures d'élite Wales
itm_vaegir_elite_armor|Armure d'élite
itm_vaegir_elite_armor_pl|Armures d'élite Anglaise
itm_sarranid_elite_armor|Armure d'élite Arabe
itm_sarranid_elite_armor_pl|Armures d'élite Arabes
itm_sarranid_dress_a|Robe
itm_sarranid_dress_a_pl|Robes
itm_sarranid_dress_b|Robe
itm_sarranid_dress_b_pl|Robes
itm_sarranid_cloth_robe|Robe usée
itm_sarranid_cloth_robe_pl|Robes usées
itm_sarranid_cloth_robe_b|Robe usée
itm_sarranid_cloth_robe_b_pl|Robes usées
itm_skirmisher_armor|Armure de tirailleur
itm_skirmisher_armor_pl|Armures de tirailleurs
itm_archers_vest|Gilet matelassé d'archer
itm_archers_vest_pl|Gilets matelassés d'archers
itm_sarranid_leather_armor|Armure en cuir Arabe
itm_sarranid_leather_armor_pl|Armures en cuir Arabes
itm_sarranid_cavalry_robe|Robe de cavalier
itm_sarranid_cavalry_robe_pl|Robes de cavaliers
itm_arabian_armor_b|Armure de garde Arabe
itm_arabian_armor_b_pl|Armures de gardes Arabes
itm_sarranid_mail_shirt|Chemise de mailles Arabe
itm_sarranid_mail_shirt_pl|Chemises de mailles Arabes
itm_mamluke_mail|Cotte de mailles de Mamelouk
itm_mamluke_mail_pl|Cottes de mailles de Mamelouk
itm_burlap_tunic|Tunique en toile de jute
itm_burlap_tunic_pl|Tuniques en toile de jute
itm_heraldic_mail_with_surcoat|Cotte de mailles aux armoiries avec surcot 
itm_heraldic_mail_with_surcoat_pl|Cottes de mailles aux armoiries avec surcot 
itm_heraldic_mail_with_tunic|Cotte de mailles avec armoiries
itm_heraldic_mail_with_tunic_pl|Cottes de mailles avec armoiries
itm_heraldic_mail_with_tunic_b|Cotte de mailles avec armoiries
itm_heraldic_mail_with_tunic_b_pl|Cottes de mailles avec armoiries
itm_heraldic_mail_with_tabard|Cotte de mailles aux armoiries avec tabard 
itm_heraldic_mail_with_tabard_pl|Cottes de mailles aux armoiries avec tabard
itm_swiss_armor|Armure suisse
itm_swiss_armor_pl|Armure suisse
itm_brigand_armor|Armure de Brigand 
itm_brigand_armor_pl|Armure de Brigand
itm_rawhide_coatwhite|Manteau de fourrure blanc
itm_rawhide_coatwhite_pl|Manteaux de fourrure blanc
itm_robeblack|Robe-Noire
itm_robeblack_pl|Robe-Noire
itm_robecross|Robe de Moine 
itm_robecross_pl|Robe de Moine
itm_robewhite|Robe de Prêtre
itm_robewhite_pl|Robe de Prêtre
itm_robered|Robe d'Aumônier
itm_robered_pl|Robe d'Aumônier
itm_robepurple|Robe d'Évêque
itm_robepurple_pl|Robe d'Évêque
itm_courtly_outfitblue|Tenue Royale Française 
itm_courtly_outfitblue_pl|Tenues Royales Françaises
itm_rich_outfitblue|Tenue de Noble Française 
itm_rich_outfitblue_pl|Tenues de Noble Françaises
itm_court_dressblue|Robe Courte française
itm_court_dressblue_pl|Robes Courtes françaises
itm_courtly_outfitred|Tenue Royale Anglaise 
itm_courtly_outfitred_pl|Tenues Royales Anglaises
itm_rich_outfitred|Tenue de Noble Anglaise
itm_rich_outfitred_pl|Tenues de Noble Anglaises
itm_court_dressred|Robe Courte Anglaise 
itm_court_dressred_pl|Robes Courtes Anglaises
itm_leather_vestblue|Veste en cuir française
itm_leather_vestblue_pl|Vestes en cuir françaises
itm_leather_vestred|Veste en cuir Anglaise
itm_leather_vestred_pl|Vestes en cuir Anglaises
itm_leather_vestgreen|Veste en cuir
itm_leather_vestgreen_pl|Vestes en cuir
itm_padded_leatherblack|Cuir noir matelassé
itm_padded_leatherblack_pl|Cuir noir matelassé
itm_leather_jerkingreen|Pourpoint en Cuir 
itm_leather_jerkingreen_pl|Pourpoints en Cuir
itm_leather_jerkinfur|Pourpoint en Cuir avec Cotte de mailles
itm_leather_jerkinfur_pl|Pourpoints en Cuir avec Cotte de mailles
itm_black_studded_leather_coat|manteau Noir de cuir clouté
itm_black_studded_leather_coat_pl|manteaux Noirs de cuir clouté
itm_black_brigandine|Brigandine de cuir
itm_black_brigandine_pl|Brigandines de cuir
itm_black_cuir_bouilli|Cuir Bouilli noir
itm_black_cuir_bouilli_pl|Cuirs Bouillis noirs
itm_byrnie_swiss1|Byrnie Suisse
itm_byrnie_swiss1_pl|Byrnies Suisses
itm_heraldric_armorlys|Armure héraldique Française
itm_heraldric_armorlys_pl|Armures héraldiques Françaises
itm_heraldric_armor3lys|Armure héraldique Française
itm_heraldric_armor3lys_pl|Armures héraldiques Françaises
itm_heraldric_armorbluewhite|Armure héraldique Française
itm_heraldric_armorbluewhite_pl|Armures héraldiques Françaises
itm_heraldric_armorblueyellow|Armure héraldique Française
itm_heraldric_armorblueyellow_pl|Armures héraldiques Françaises
itm_heraldric_armorlion|Anglais Armure héraldique
itm_heraldric_armorlion_pl|Anglais Armure héraldique
itm_heraldric_armorstripes|Anglais Armure héraldique
itm_heraldric_armorstripes_pl|Anglais Armure héraldique
itm_heraldric_armorredwhite|Anglais Armure héraldique
itm_heraldric_armorredwhite_pl|Anglais Armure héraldique
itm_heraldric_armorredyellow|Anglais Armure héraldique
itm_heraldric_armorredyellow_pl|Anglais Armure héraldique
itm_linen_tunic_swiss|Tunique en cuir suisse
itm_linen_tunic_swiss_pl|Tunique en cuir suisse
itm_dark_light_mail_and_plate|Cotte de mailles légère et de la plaque
itm_dark_light_mail_and_plate_pl|Cotte de mailles légère et de la plaque
itm_klepp_helmet|Bascinet a visière
itm_klepp_helmet_pl|Bascinets a visière
itm_pigface|Bascinet
itm_pigface_pl|Bascinet
itm_greatbascinet1|Grand Bascinet
itm_greatbascinet1_pl|Grand Bascinet
itm_greathelm1|Grande Casque
itm_greathelm1_pl|Grande Casque
itm_greathelmwhat|Grande Casque
itm_greathelmwhat_pl|Grand Casque
itm_klappvisier|casque a visière
itm_klappvisier_pl|casques a visières
itm_peasant_man_e1|Tunique du Yeoman anglaise
itm_peasant_man_e1_pl|Tunique du Yeoman anglaise
itm_peasant_man_e2|Tunique du Yeoman anglaise
itm_peasant_man_e2_pl|Tunique du Yeoman anglaise
itm_peasant_man_f2|Tunique du Yeoman Française
itm_peasant_man_f2_pl|Tunique du Yeoman Française
itm_peasant_man_f1|Tunique du Yeoman Française
itm_peasant_man_f1_pl|Tunique du Yeoman Française
itm_tattered_leather_armor_e1|Armure en cuir anglaise
itm_tattered_leather_armor_e1_pl|Armure en cuir anglaise
itm_tattered_leather_armor_e2|Armure en cuir anglaise
itm_tattered_leather_armor_e2_pl|Armure en cuir anglaise
itm_tattered_leather_armor_f1|Armure en cuir Française
itm_tattered_leather_armor_f1_pl|Armure en cuir Française
itm_tattered_leather_armor_f2|Armure en cuir Française
itm_tattered_leather_armor_f2_pl|Armure en cuir Française
itm_leather_vest_e1|Veste en cuir anglaise
itm_leather_vest_e1_pl|Veste en cuir anglaise
itm_leather_vest_e2|Veste en cuir anglaise
itm_leather_vest_e2_pl|Veste en cuir anglaise
itm_leather_vest_f1|Veste en cuir Française
itm_leather_vest_f1_pl|Veste en cuir Française
itm_leather_vest_f2|Veste en cuir Française
itm_leather_vest_f2_pl|Veste en cuir Française
itm_white_gambeson_e1|Gambison anglais
itm_white_gambeson_e1_pl|Gambison anglais
itm_white_gambeson_f1|Gambison Français
itm_white_gambeson_f1_pl|Gambison Français
itm_padded_cloth_e1|Aketon anglais
itm_padded_cloth_e1_pl|Aketon anglais
itm_padded_cloth_f1|Aketon Français
itm_padded_cloth_f1_pl|Aketon Français
itm_padded_cloth_b_e1|Gambison rembourré anglais
itm_padded_cloth_b_e1_pl|Gambisons rembourrés anglais
itm_padded_cloth_b_f1|Gambison rembourré Français
itm_padded_cloth_b_f1_pl|Gambisons rembourrés Français
itm_ragged_leather_jerkin_e1|Blouse de cuir anglais
itm_ragged_leather_jerkin_e1_pl|Blouse de cuir anglais
itm_ragged_leather_jerkin_f1|Blouse de cuir Français
itm_ragged_leather_jerkin_f1_pl|Blouse de cuir Français
itm_padded_jack|Jack rembourré
itm_padded_jack_pl|Jack rembourré
itm_padded_jack_e|Jack rembourré anglais
itm_padded_jack_e_pl|Jack rembourré anglais
itm_leather_armor_e1|Jack rembourré anglais
itm_leather_armor_e1_pl|Jack rembourré anglais
itm_leather_armor_e2|Jack rembourré anglais
itm_leather_armor_e2_pl|Jack rembourré anglais
itm_leather_armor_f1|Jack rembourré Français
itm_leather_armor_f1_pl|Jack rembourré Français
itm_leather_armor_f2|Jack rembourré Français
itm_leather_armor_f2_pl|Jack rembourré Français
itm_leather_armor_e4|manteau de cuir clouté Anglais 
itm_leather_armor_e4_pl|manteau de cuir clouté Anglais
itm_leather_armor_e3|manteau de cuir clouté Anglais
itm_leather_armor_e3_pl|manteau de cuir clouté Anglais
itm_leather_armor_f3|manteau de cuir Français Anglais
itm_leather_armor_f3_pl|manteau de cuir Français Anglais
itm_leather_armor_f4|manteau de cuir Français Anglais
itm_leather_armor_f4_pl|manteau de cuir Français Anglais
itm_haubergeon_e1|Haubergeon Anglais
itm_haubergeon_e1_pl|Haubergeon Anglais
itm_haubergeon_e2|Haubergeon Anglais
itm_haubergeon_e2_pl|Haubergeon Anglais 
itm_haubergeon_f1|Haubergeon Français
itm_haubergeon_f1_pl|Haubergeon Français
itm_haubergeon_f2|Haubergeon Français
itm_haubergeon_f2_pl|Haubergeon Français
itm_mail_shirt_e1|Chemise maillée Anglaise
itm_mail_shirt_e1_pl|Chemise maillée Anglaise
itm_mail_shirt_e2|Chemise maillée Anglaise
itm_mail_shirt_e2_pl|Chemise maillée Anglaise
itm_mail_shirt_f1|Chemise maillée Française
itm_mail_shirt_f1_pl|Chemise maillée Française
itm_mail_shirt_f2|Chemise maillée Française
itm_mail_shirt_f2_pl|Chemise maillée Française
itm_mail_shirtdeer|Chemise maillée
itm_mail_shirtdeer_pl|Chemise maillée
itm_mail_shirtgreen|Chemise maillée
itm_mail_shirtgreen_pl|Chemise maillée
itm_mail_shirthre|Chemise maillée
itm_mail_shirthre_pl|Chemise maillée
itm_surcoat_over_mail_f1|Surcot et cotte de mailles Français
itm_surcoat_over_mail_f1_pl|Surcot et cotte de maille Français
itm_surcoat_over_mail_f2|Surcot et cotte de mailles Français
itm_surcoat_over_mail_f2_pl|Surcot et cotte de maille Français
itm_surcoat_over_mail_f3|Surcot et cotte de mailles Français
itm_surcoat_over_mail_f3_pl|Surcot et cotte de mailles Français
itm_surcoat_over_mail_f4|Surcot et cotte de mailles Français
itm_surcoat_over_mail_f4_pl|Surcot et cotte de mailles Français
itm_surcoat_over_mail_e1|Surcot et cotte de mailles Anglais
itm_surcoat_over_mail_e1_pl|Surcot et cotte de mailles Anglais
itm_surcoat_over_mail_e2|Surcot et cotte de mailles Anglais
itm_surcoat_over_mail_e2_pl|Surcot et cotte de mailles Anglais
itm_surcoat_over_mail_e3|Surcot et cotte de mailles Anglais
itm_surcoat_over_mail_e3_pl|Surcot et cotte de mailles Anglais
itm_surcoat_over_mail_e4|Surcot et cotte de mailles Anglais
itm_surcoat_over_mail_e4_pl|Surcot et cotte de mailles Anglais
itm_brigandine_e1|Brigandine Anglaise
itm_brigandine_e1_pl|Brigandine Anglaise
itm_brigandine_e2|Brigandine Anglaise
itm_brigandine_e2_pl|Brigandine Anglaise
itm_brigandine_f1|Brigandine Française
itm_brigandine_f1_pl|Brigandine Française
itm_brigandine_f2|Brigandine Française
itm_brigandine_f2_pl|Brigandine Française
itm_brigandine_g|Brigandine Génoise
itm_brigandine_g_pl|Brigandine Génoise
itm_coat_of_plates_e1|Manteau de plaques Anglais
itm_coat_of_plates_e1_pl|Manteau de plaques Anglais
itm_coat_of_plates_e2|Manteau de plaques Anglais
itm_coat_of_plates_e2_pl|Manteau de plaques Anglais
itm_coat_of_plates_e3|Manteau de plaques Anglais
itm_coat_of_plates_e3_pl|Manteau de plaques Anglais
itm_coat_of_plates_f1|Manteau de plaques Français
itm_coat_of_plates_f1_pl|Manteau de plaques Français
itm_coat_of_plates_f2|Manteau de plaques Français
itm_coat_of_plates_f2_pl|Manteau de plaques Français
itm_coat_of_plates_f3|Manteau de plaques Français
itm_coat_of_plates_f3_pl|Manteau de plaques Français
itm_early_transitional_teu|Surcot lourd et Plates Teutonique
itm_early_transitional_teu_pl|Surcot lourd et Plates Teutonique
itm_early_transitional_hre|Surcot et Plates du Saint Empire romain
itm_early_transitional_hre_pl|Surcot et Plates du Saint Empire romain
itm_early_transitional_green|Surcot et plaques
itm_early_transitional_green_pl|Surcot et plaques
itm_early_transitional_horse|cotte de maille lourde et Plates Française
itm_early_transitional_horse_pl|cotte de maille lourde et Plates Française
itm_early_transitional_boar|cotte de maille lourde et Plates Française
itm_early_transitional_boar_pl|cotte de maille lourde et Plates Française
itm_early_transitional_white|Cotte de maille lourde et Plates
itm_early_transitional_white_pl|Cotte de maille lourde et Plates
itm_early_transitional_f1|cotte de maille lourde et Plates Française
itm_early_transitional_f1_pl|cotte de maille lourde et Plates Française
itm_early_transitional_f2|cotte de maille lourde et Plates Française
itm_early_transitional_f2_pl|cotte de maille lourde et Plates Française
itm_early_transitional_f3|cotte de maille lourde et Plates Française
itm_early_transitional_f3_pl|cotte de maille lourde et Plates Française
itm_early_transitional_f4|cotte de maille lourde et Plates Française
itm_early_transitional_f4_pl|cotte de maille lourde et Plates Française
itm_early_transitional_f5|cotte de maille lourde et Plates Française
itm_early_transitional_f5_pl|cotte de maille lourde et Plates Française
itm_early_transitional_e1|cotte de maille lourde et Plates Anglaise
itm_early_transitional_e1_pl|cotte de maille lourde et Plates Anglaise
itm_early_transitional_e2|cotte de maille lourde et Plates Anglaise
itm_early_transitional_e2_pl|cotte de maille lourde et Plates Anglaise
itm_early_transitional_e3|cotte de maille lourde et Plates Anglaise
itm_early_transitional_e3_pl|cotte de maille lourde et Plates Anglaise
itm_early_transitional_e4|cotte de maille lourde et Plates Anglaise
itm_early_transitional_e4_pl|cotte de maille lourde et Plates Anglaise
itm_early_transitional_e5|cotte de maille lourde et Plates Anglaise
itm_early_transitional_e5_pl|cotte de maille lourde et Plates Anglaise
itm_early_transitional_e6|cotte de maille lourde et Plates Anglaise
itm_early_transitional_e6_pl|cotte de maille lourde et Plates Anglaise
itm_early_transitional_e7|cotte de maille lourde et Plates Anglaise
itm_early_transitional_e7_pl|cotte de maille lourde et Plates Anglaise
itm_churburg_13_e|Plaque intégrale
itm_churburg_13_e_pl|Plaque intégrale
itm_churburg_13_brass_f|Armures de Plaques intégrales
itm_churburg_13_brass_f_pl|Armures de Plaques intégrales
itm_churburg_13|Plaque intégrale
itm_churburg_13_pl|Plaque intégrale
itm_churburg_13_brass|Armures de Plaques intégrales
itm_churburg_13_brass_pl|Armures de Plaques intégrales
itm_churburg_13_mail|Armures de Plaques intégrales
itm_churburg_13_mail_pl|Armures de Plaques intégrales
itm_early_transitional_heraldic|Cotte de mailles lourde et plaques
itm_early_transitional_heraldic_pl|Cotte de mailles lourdes et plaques
itm_early_transitional_blue|Cotte de mailles lourdes et plaques
itm_early_transitional_blue_pl|Cottes de mailles lourdes et plaques
itm_early_transitional_orange|Cotte de mailles lourde et plaques
itm_early_transitional_orange_pl|Cottes de mailles lourde et plaques
itm_milanese_armour|Armure milanaise
itm_milanese_armour_pl|Armure milanaise
itm_gothic_armour|Armure Gothique
itm_gothic_armour_pl|Armure Gothique
itm_turret_hat_ruby|Touret 
itm_turret_hat_ruby_pl|Tourets
itm_turret_hat_blue|Touret 
itm_turret_hat_blue_pl|Tourets
itm_turret_hat_green|Barbette 
itm_turret_hat_green_pl|Barbettes
itm_head_wrappings|Châle
itm_head_wrappings_pl|Châles
itm_court_hat|Touret 
itm_court_hat_pl|Tourets
itm_wimple_a|Guimpe
itm_wimple_a_pl|Guimpes
itm_wimple_with_veil|Guimpe avec cagoule
itm_wimple_with_veil_pl|Guimpes avec cagoule
itm_straw_hat|Chapeau de paille 
itm_straw_hat_pl|Chapeaux de paille 
itm_common_hood|Capuchon
itm_common_hood_pl|Capuchons
itm_hood_b|Capuchon
itm_hood_b_pl|Capuchons
itm_hood_c|Capuchon
itm_hood_c_pl|Capuchons
itm_hood_d|Capuchon
itm_hood_d_pl|Capuchons
itm_headcloth|Chaperon façonné
itm_headcloth_pl|Chaperons façonnés
itm_woolen_hood|Capuchon de laine 
itm_woolen_hood_pl|Capuchons de laine 
itm_arming_cap|Capuchon matelassé
itm_arming_cap_pl|Capuchons matelassés
itm_fur_hat|Chapeau de fourrure 
itm_fur_hat_pl|Chapeaux de fourrure 
itm_nomad_cap|Bonnet de nomade 
itm_nomad_cap_pl|Bonnets de nomade 
itm_nomad_cap_b|Bonnet de nomade 
itm_nomad_cap_b_pl|Bonnets de nomades
itm_steppe_cap|Bonnet de barbare
itm_steppe_cap_pl|Bonnets de barbare
itm_padded_coif|Coiffe renforçée 
itm_padded_coif_pl|Coiffes renforçées
itm_woolen_cap|Bonnet de laine 
itm_woolen_cap_pl|Bonnets de laine 
itm_felt_hat|Chapeau de feutre 
itm_felt_hat_pl|Chapeaux en feutre 
itm_felt_hat_b|Chapeau en feutre 
itm_felt_hat_b_pl|Chapeaux en feutre 
itm_leather_cap|Capuchon en cuir 
itm_leather_cap_pl|Capuchons en cuir 
itm_female_hood|Capuchon de dame 
itm_female_hood_pl|Capuchons de dame 
itm_leather_steppe_cap_a|Bonnet de barbare
itm_leather_steppe_cap_a_pl|Bonnets de barbare 
itm_leather_steppe_cap_b|Bonnet de barbare  
itm_leather_steppe_cap_b_pl|Bonnets de barbare  
itm_leather_steppe_cap_c|Bonnet de barbare
itm_leather_steppe_cap_c_pl|Bonnets de barbare 
itm_leather_warrior_cap|Capuchon de guerrier en cuir 
itm_leather_warrior_cap_pl|Capuchons de guerrier en cuir 
itm_skullcap|Calotte
itm_skullcap_pl|Calottes
itm_mail_coif|Camail
itm_mail_coif_pl|Camails
itm_footman_helmet|Casque de fantassin
itm_footman_helmet_pl|Casques de fantassin
itm_nasal_helmet|Heaume nasale
itm_nasal_helmet_pl|Heaumes nasales
itm_norman_helmet|Heaume avec capuchon
itm_norman_helmet_pl|Heaumes avec capuchon
itm_segmented_helmet|Spangelhelm
itm_segmented_helmet_pl|Spangelhelms
itm_helmet_with_neckguard|Heaume avec gorgerin
itm_helmet_with_neckguard_pl|Heaumes avec gorgerin
itm_flat_topped_helmet|Heaume cylindrique à dessus plat 
itm_flat_topped_helmet_pl|Heaumes cylindriques à dessus plat 
itm_kettle_hat|Chapel de fer 
itm_kettle_hat_pl|Chapels de fer 
itm_spiked_helmet|Heaume à pointe
itm_spiked_helmet_pl|Heaumes à pointe
itm_nordic_helmet|Casque nordique 
itm_nordic_helmet_pl|Casques nordiques
itm_khergit_lady_hat|Chapeau pour femme Wales
itm_khergit_lady_hat_pl|Chapeaux pour femme Wales
itm_khergit_lady_hat_b|Chapeau de femme Wales en cuir
itm_khergit_lady_hat_b_pl|Chapeaux de femmes Waless en cuir
itm_sarranid_felt_hat|Chapeau de feutre Arabe
itm_sarranid_felt_hat_pl|Chapeaux de feutre Arabes
itm_turban_pl|Turbans
itm_desert_turban|Turban du désert
itm_desert_turban_pl|Turbans du désert
itm_sarranid_warrior_cap|Capuchon de guerrier Arabe
itm_sarranid_warrior_cap_pl|Capuchons de guerriers Arabes
itm_sarranid_horseman_helmet|Casque de cavalier
itm_sarranid_horseman_helmet_pl|Casques de cavaliers
itm_sarranid_helmet1|Casque keffieh Arabe
itm_sarranid_helmet1_pl|Casques keffiehs Arabes
itm_sarranid_mail_coif|Camail Arabe
itm_sarranid_mail_coif_pl|Camails Arabes
itm_sarranid_veiled_helmet|Casque avec voile Arabe
itm_sarranid_veiled_helmet_pl|Casques avec voile Arabes
itm_nordic_archer_helmet|Casque en cuir nordique
itm_nordic_archer_helmet_pl|Casques en cuir nordiques
itm_nordic_veteran_archer_helmet|Casque en cuir nordique
itm_nordic_veteran_archer_helmet_pl|Casques en cuir nordiques
itm_nordic_footman_helmet|Casque de troupier nordique
itm_nordic_footman_helmet_pl|Casques de troupiers nordiques
itm_nordic_fighter_helmet|Casque de combattant nordique
itm_nordic_fighter_helmet_pl|Casques de combattants nordiques
itm_nordic_huscarl_helmet|Casque de huscarl nordique
itm_nordic_huscarl_helmet_pl|Casques de huscarls nordiques
itm_nordic_warlord_helmet|Casque de seigneur de la guerre nordique
itm_nordic_warlord_helmet_pl|Casques de seigneurs de la guerre nordiques
itm_vaegir_fur_cap|Chapeau fourré
itm_vaegir_fur_cap_pl|Chapeaux fourrés
itm_vaegir_fur_helmet|Casque barbare
itm_vaegir_fur_helmet_pl|Casques barbare
itm_vaegir_spiked_helmet|Coiffe à pointe
itm_vaegir_spiked_helmet_pl|Coiffes à pointe
itm_vaegir_lamellar_helmet|Casque avec visière lamellaire
itm_vaegir_lamellar_helmet_pl|Casques avec visière lamellaire
itm_vaegir_noble_helmet|Casque de barbare
itm_vaegir_noble_helmet_pl|Casques de barbare
itm_vaegir_war_helmet|Casque de guerre barbare
itm_vaegir_war_helmet_pl|Casques de guerre barbare
itm_vaegir_mask|Masque de guerre barbare
itm_vaegir_mask_pl|Masques de guerre barbare
itm_bascinet|Bassinet 
itm_bascinet_pl|Bassinets
itm_bascinet_2|Bassinet avec camail d'armure
itm_bascinet_2_pl|Bassinets avec camail d'armure
itm_bascinet_3|Bassinet avec protège-nez
itm_bascinet_3_pl|Bassinets avec protège-nez
itm_guard_helmet|Casque de garde 
itm_guard_helmet_pl|Casques de garde 
itm_black_helmet|Heaume noir
itm_black_helmet_pl|Heaumes noirs
itm_full_helm|Casque fermé
itm_full_helm_pl|Casques fermés
itm_great_helmet|Grand heaume
itm_great_helmet_pl|Grands heaumes
itm_winged_great_helmet|Grand heaume ailé
itm_winged_great_helmet_pl|Grands heaumes ailés
itm_common_hoodblack|capot
itm_common_hoodblack_pl|capot
itm_leather_capred|Casquette de Prêtre
itm_leather_capred_pl|Casquette de Prêtre
itm_leather_cappurple|Casquette d'Évêque
itm_leather_cappurple_pl|Casquette d'Évêque
itm_common_helm|Bouilloire angulaire
itm_common_helm_pl|Bouilloire angulaire
itm_war_helm|Casque avec Aventail
itm_war_helm_pl|Casque avec Aventail
itm_french_joustinghelmblackhorns|Casque de joutes cornée Français
itm_french_joustinghelmblackhorns_pl|Casque de joutes cornée Français
itm_french_joustinghelmcrow|Casque de joutes des corbeaux
itm_french_joustinghelmcrow_pl|Casques de joutes des corbeaux
itm_french_joustinghelmcrowwithwings|Casque de joutes corbeau Français
itm_french_joustinghelmcrowwithwings_pl|Casque de joutes corbeau Français
itm_english_inquisitorcrowfighterhelm|Casque de joutes des corbeaux
itm_english_inquisitorcrowfighterhelm_pl|Casques de joutes des corbeaux
itm_english_joustinghelmblackhorns|Casque de joutes corné
itm_english_joustinghelmblackhorns_pl|Casques de joutes cornés
itm_english_joustinghelmcrow|Casque de joutes des cygnes
itm_english_joustinghelmcrow_pl|Casques de joutes des cygnes
itm_english_joustinghelmcrowwithwings|Casque de joutes des cygnes
itm_english_joustinghelmcrowwithwings_pl|Casques de joutes des cygnes
itm_crusader_helmet|Grand Casque
itm_crusader_helmet_pl|Grand Casque
itm_hood_f1|Capot
itm_hood_f1_pl|Capot
itm_woolen_cap_f1|Casquette de Laine
itm_woolen_cap_f1_pl|Casquette de Laine
itm_coif_new_f1|Coiffe rembourrée
itm_coif_new_f1_pl|Coiffe rembourrée
itm_felt_hat_f1|Chapeau
itm_felt_hat_f1_pl|Chapeau
itm_hood_e1|Capot
itm_hood_e1_pl|Capot
itm_woolen_cap_e1|Casquette de Laine
itm_woolen_cap_e1_pl|Casquette de Laine
itm_coif_new_e1|Coiffe rembourré
itm_coif_new_e1_pl|Coiffe rembourré
itm_felt_hat_e1|Chapeau
itm_felt_hat_e1_pl|Chapeau
itm_mail_coif_full|Coiffe Cotte de maille Intégrale
itm_mail_coif_full_pl|Coiffe Cotte de maille Intégrale
itm_kettle_hat|Chapel de fer 
itm_kettle_hat_pl|Chapels de fer 
itm_kettlehat1|Bouilloire
itm_kettlehat1_pl|Bouilloire
itm_kettlehat1_painted|Bouilloire
itm_kettlehat1_painted_pl|Bouilloire
itm_kettlehat2|Bouilloire carrée
itm_kettlehat2_pl|Bouilloire carrée
itm_kettlehat2_painted|Bouilloire carrée
itm_kettlehat2_painted_pl|Bouilloire carrée
itm_byzantion|Bouilloire byzantine
itm_byzantion_pl|Bouilloire byzantine
itm_byzantion_painted|Bouilloire byzantine
itm_byzantion_painted_pl|Bouilloire byzantine
itm_oniontop_bascinet|Bascinet oignon-Haut
itm_oniontop_bascinet_pl|Bascinet oignon-Haut
itm_great_helm_joust|Grand Casque
itm_great_helm_joust_pl|Grand Casque
itm_great_helm_grif|Grand Casque
itm_great_helm_grif_pl|Grand Casque
itm_tilting_helm_horns|Casque Incliné
itm_tilting_helm_horns_pl|Casque Incliné
itm_tilting_helmet|Casque Incliné
itm_tilting_helmet_pl|Casque Incliné
itm_tilting_helm_crow|Casque Incliné
itm_tilting_helm_crow_pl|Casque Incliné
itm_tilting_helm_unicorn|Casque Incliné
itm_tilting_helm_unicorn_pl|Casque Incliné
itm_tilting_helm_swan|Casque Incliné
itm_tilting_helm_swan_pl|Casque Incliné
itm_great_helm_wings_teut|Grande Casque Ailé
itm_great_helm_wings_teut_pl|Grande Casque Ailé
itm_great_helm_knobs|Grande Casque
itm_great_helm_knobs_pl|Grande Casque
itm_tilting_helm_horns_f|Casque Incliné
itm_tilting_helm_horns_f_pl|Casque Incliné
itm_great_helm_joust_f|Grande Casque
itm_great_helm_joust_f_pl|Grande Casque
itm_great_helm_grif_f|Grande Casque
itm_great_helm_grif_f_pl|Grande Casque
itm_tilting_helm_crow_f|Casque Inclinée
itm_tilting_helm_crow_f_pl|Casque Incliné
itm_tilting_helm_unicorn_f|Casque Incliné
itm_tilting_helm_unicorn_f_pl|Casque Incliné
itm_tilting_helm_swan_f|Casque Incliné
itm_tilting_helm_swan_f_pl|Casque Incliné
itm_tilting_helm_unicorn_tall_f|Casque Incliné
