str_no_string|NO STRING!
str_npc16_kingsupport_1|Pourquoi pas, capitaine ? Vous ferez certainement {un excellent Duc/une excellente Duchesse}. Et j'espère que vous vous souviendrez des petites gens qui, comme moi, auront contribué à votre accession au trône.
str_npc1_kingsupport_2|Certainement, Messire. Mais laissez-moi vous indiquer ce qui pourrait rallier d'autres gens à votre cause, bien que je soit de petite noblesse je n'oublis pas mes racines, et le comportement des seigneurs Ducs et Comtes est des plus méprisable, pourquois ne pourrions nous pas assurer le gouvernement d'une région avec justice et droiture, une personne telle que vous Messire serais parfaite pour cela.
str_npc2_kingsupport_2|Pour les revenus de la plupart des seigneurs de ce pays, disons qu'ils proviennent exclusivement de rentes ou de pillages. Vous, en revanche, vous avez l'expérience du commerce, des efforts et des risques nécessaires pour veiller à ce que la population de Tours ne meure pas de faim alors que Bourges croule sous les céréales, c'est un exemple. Si vous voulez, capitaine, je pense pouvoir vous trouver un certain soutien parmi les marchands et bourgeois.
str_npc3_kingsupport_2|Oui {mon seigneur/ma noble Dame}. Mais je vous recommanderais vivement de rétablir une vieille tradition impériale, le conseil de la noblesse et du peuple, représentant à la fois les nobles du pays et les hommes éduqués du peuple, et ayant le pouvoir d'annuler tout nouvel impôt ou autre mesures tyranniques susceptibles de vous tenter. Ce serait pour votre bien, {mon seigneur/ma noble Dame}.
str_npc4_kingsupport_2|{Messire/Madame}, il s'agit maintenant de rallier d'autres gens à votre cause. Comme vous le savez, la valeur et le respect d'un individu dépendent principalement de son labeur et non pas de sa naissance. Il est important de faire connaître votre considération pour le travail de la terre, et votre aversion contre les méfaits de la guerre.
str_npc5_kingsupport_2|Certainement capitaine. laissez-moi vous indiquer ce qui pourrait rallier d'autres gens à votre cause. Lors de votre accession au titre de {Duc/Duchesse}, on amnistie tout le monde et on donne un pécule à tous vos sujets pour relancer l'économie, mes amis les artisans et négociants apprécieront.
str_npc6_kingsupport_2|Oui, à tous ceux qui seraient prêts à écouter le récit de vos actes en faveur du droit à vivre et à consommer ce que bon nous semble dans ces contrées. Je parlerai de votre capacité à mener les hommes contre vents et marées, et je leur dirai que si vous deveniez {Duc/Duchesse}, les tavernes seraient libres de proposer tout ce qui est bon pour le bien-être des hommes, au moins dans ce duché.
str_npc7_kingsupport_2|Oui chef, le devoir {d'un Duc/d'une Duchesse} est de veiller sur la sécurité de ses sujets, et particulièrement sur les plus faibles. Si vous étiez {Duc/Duchesse}, vos payasans n'aurraient point besoin de voller leurs victuailles.
str_npc8_kingsupport_2|Et ce par ce que vous savez que ca n'est pas aussi difficile que tout ces nobles inccapables le disent, voila la raison! vous finiriez par etre {Duc/Duchesse} que ca ne m'étonnerais pas, il suffira de gouverner par la politique de la terreur, ainsi les brigands vous redouterons et irons piller aileurs, et les sujets ferons ce que vous direz sans rechinier, voila...et dire que tout le monde pense que c'est compliqué, cela me met dans une collére noire rien que d'y penser.
str_npc9_kingsupport_2|Oui {Messire/madame}, voici ce que j'en pense. Vous devez promettre à tous que la noblesse devra respecter ses anciens droits, son sens de l'honneur et une chevalerie épurée de sa gangrène. Pour l'instant la pagaille règne en Europe, mais il faut affirmer qu'il n'en sera pas toujours ainsi. Il s'agit donc de simplifier les choses, d'abord {le souverain garant/la souveraine garante} du rang et des biens de chacun, puis l'honneur des seigneurs et de leur chevalerie, et enfin tous les autres.
str_npc10_kingsupport_2|Certainement {Messire/madame}. Mais j'ai une idée à vous soumettre. Si vous devenez {Duc/Duchesse}, je vous demanderais d'ouvrir votre cour au peuple et pas seulement aux seigneurs et aux personnes de sang bleu. Je vous demanderais de proclamer que tout homme jugé et condamné a le droit de faire directement appel auprès de vous. Les seigneurs bénéficient actuellement de ce droit et je voudrais qu'il soit étendu à tous.
str_npc11_kingsupport_2|Bien sûr, vous feriez un exelent Duc, vous garantiriez la paix dans vos terres et chasserez les malandrins, cependant je suis certain que nul ne sera pendu sans jugement, aussi expeéditif qu'il soit.
str_npc12_kingsupport_2|Bien sûr Messire, mais si j'ai appris quelque chose au cours de mes voyages, c'est bien que les Français sont à cheval sur la tradition et sur le fait que le mal doit etre expié. Tout doit être fait pour cela.
str_npc13_kingsupport_2|Hum...oui! je pourais voyager et compter nos exploits dans les tavernes,es ce la ce que vous désirez ?
str_npc14_kingsupport_2|Oui, en quoi vous seriez {Duc/Duchesse} de toutes les terres que vous souhaitez unifier, mais je resterais maistre chez moi. S'il y avait des problèmes de terres, de bétail ou de sang, vous nous laisseriez régler cela à l'espée sans vous en mêler.
str_npc15_kingsupport_2|Oui, on risque de vous reprocher de ne pas avoir de sang noble dans les veines. Moi, ce que je sais, c'est que le sang noble rend avare. Les rois et les nobles font des emprunts ou commandent des projets de construction sans se soucier de savoir comment ils paieront tous ces roturiers qui espèrent manger après une honnête journée de labeur. Si vous voulez mon avis, c'est l'honnêteté qui fait {d'un homme un bon Duc/d'une femme une bonne Duchesse} et pas sa généalogie.
str_npc16_kingsupport_2|Bien sûr capitaine, qui plus est, je pense qu'une fille comme moi vous rend service en vous offrant le soutien des intendants des seigneurs de ce pays. Je n'ai peut-être été que peu impliquée dans leurs plans et intrigues ces derniers temps, mais je crois savoir ce qu'ils veulent. Et compte tenu des secrets que je connais, ils ne risquent pas de me refuser l'entrée de leurs salles d'honneur, n'est-ce pas ?
str_npc1_kingsupport_2a|Je vous en prie, continuez.
str_npc2_kingsupport_2a|Continuez.
str_npc3_kingsupport_2a|Continuez.
str_npc4_kingsupport_2a|Bien sûr.
str_npc5_kingsupport_2a|Je vous en prie, continuez.
str_npc6_kingsupport_2a|Formidable.
str_npc7_kingsupport_2a|La compassion est une priorité.
str_npc8_kingsupport_2a|D'accord.
str_npc9_kingsupport_2a|Cela semble raisonnable.
str_npc10_kingsupport_2a|Bien sûr.
str_npc11_kingsupport_2a|Cela me semble juste.
str_npc12_kingsupport_2a|Intéressant, continuez.
str_npc13_kingsupport_2a|Eh bien oui.
str_npc14_kingsupport_2a|D'accord, continuez.
str_npc15_kingsupport_2a|Voilà qui est bien parlé.
str_npc16_kingsupport_2a|Intéressant, continuez.
str_npc1_kingsupport_2b|Eh bien, on a vu ce que ça a donné.
str_npc2_kingsupport_2b|Je ne veux pas de leur soutien.
str_npc3_kingsupport_2b|Il n'en est pas question.
str_npc4_kingsupport_2b|Hum, pas si simple.
str_npc5_kingsupport_2b|Vous voulez nous ruiner !
str_npc6_kingsupport_2b|Impossible et inacceptable.
str_npc7_kingsupport_2b|Il n'y a pas que les paysans, ce ne sont pas les plus influants...
str_npc8_kingsupport_2b|Toujours aussi éficace ! mais je pense que je vais garder vos idées pour plus tard.
str_npc9_kingsupport_2b|Je doute que votre idée soit si simple à appliquer.
str_npc10_kingsupport_2b|Je vais y réfléchir.
str_npc11_kingsupport_2b|Il y as moult intrigues, pas seulement les pillards.
str_npc12_kingsupport_2b|Assez, le mal n'a rien à voir dans l'affaire.
str_npc13_kingsupport_2b|Hum, je ne sais pas.
str_npc14_kingsupport_2b|Il y a la justice pour cela.
str_npc15_kingsupport_2b|{Duc/Duchesse} des clercs, non.
str_npc16_kingsupport_2b|Cela peut attendre.
str_npc1_kingsupport_3|Si je parcours ce pays pendant quelques semaines en annonçant au peuple que vous comptez les considérer en tant que sujets de vostre Duché, ils commenceront à parler de vous comme un reformateur, et cela vous ouvrira la voie pour fonder un Duché. Dois-je m'en charger, Messire ?
str_npc3_kingsupport_3|Une telle promesse de votre part, {Messire/madame}, aiderait beaucoup de seigneurs de ce pays à surmonter leurs éventuelles réticences. Si vous envisagez de rétablir l'ancien système, vous serez sans conteste un souverain plus légitime que tous ces usurpateurs. Donnez-moi quelques semaines, {Messire/madame}, et je ferai savoir aux nobles et aux marchands de ce pays que vous avez l'intention de rétablir leurs anciens droits.
str_npc4_kingsupport_3|Oui, je crois à la nécessité de combattre tous les militaires et leurs actes contre nature. Si vous me donnez quelques semaines, je parcourrais les villages et les campagnes de ces contrées et je dirais partout que vous avez la volonté de poursuivre et de punir toute action perpétrée contre la société civile. Évidemment que vous serez aussi un farouche défenseur de la paysannerie, quitte même à redistribuer les terres.
str_npc5_kingsupport_3|Si je parcours ce pays pendant quelques temps en annonçant au peuple que vous comptez amnistier tout le monde, et que vous distribuerez un pécule à tous les sujets qui n'ont pas eu la chance de naître dans la noblesse. Que vous respecterez les traditions des régions, et s'il la demande en leur donnant leur indépendance. Dois-je m'en charger, capitaine ?
str_npc6_kingsupport_3|Soit, bien que ma famille me considère désormais comme un étranger parce que j'ai fait le choix de devenir mercenaire, j'ai eu accès grâce à cela à de nombreuses dépendances de la noblesse, et je pense que j'y serais encore le bienvenu. Je vais parcourir ce pays et dire à tous ceux qui voudront m'écouter, que lorsque vous serez {Duc/Duchesse}, vous mettrez tout en oeuvre pour protéger la libre circulation des alcools et le droit à régler soi-même les différends avec des trouble-fêtes. Et je peux vous assurer que vous aurez du monde pour vous soutenir.
str_npc7_kingsupport_3|Chef, accordez-moi quelques semaines pour me rendre dans toutes les villes où j'ai encore des contacts avec le peuple meme si ma vie fut sauvage, je dirai à tous que lorsque vous aurez unifié ces contrées, vous les protègerez plus éfficacement que ces seigneurs distraits.
str_npc8_kingsupport_3|Et bien dans ce cas, donne-moi quelques semaines pour parcourir les patelins de ce pays et faire savoir que tu sera un gouverneur respectueux des barons et de leurs anciens droits. ainsi qu'une ame charitable envers les faibles, il faudra bien les endormir dans un premier temps.
str_npc9_kingsupport_3|C'est parfaitement raisonnable, {Messire/madame}, et nous serons libérés de ces maudits conspirateurs ainsi que des banquiers. Au lieu de ne penser qu'à fomenter des complots qui occupent tout leur temps, ils feraient mieux de combattre pour la gloire de votre souveraineté. Donnez-moi congé et j'informerai les nobles âmes de ce pays que vous souhaitez rétablir les anciennes lois de l'honneur. Je parie qu'ils seront nombreux à vous suivre dans ce combat.
str_npc10_kingsupport_3|Eh bien {Messire/madame}, donnez-moi quelques semaines et je parcourrai ce pays pour faire savoir au peuple que vous régnerez justement et équitablement, et qu'avec vous, la noblesse et le peuple seront égaux devant la loi. Les hommes vous verront en {Duc/Duchesse} et c'est un bon début pour véritablement le devenir.
str_npc11_kingsupport_3|Parfait, je vais courrir les campagnes et les villes pour annoncer vos projets de néttoyer les routes marchandes et les quartiers mal famés, et que vous désirez faire justice.
str_npc12_kingsupport_3|Mais le saviez-vous, Messire, quinconce s'adonne a une médecine experimentale est aussitot accusé d'héresie, c'est bien la preuves d'étroitésse d'ésprit, il faut changer cela, car la médecine et le clérgé n'ont rien de divergent au contraire, ce sont juste la les penssés de personnages ignares, il faut réouvri les universités comme a Paris, c'est un crime de ne point autoriser la recherche.
str_npc13_kingsupport_3|Alors, donnez-moi quelques semaines pour raconter votre histoire,en payant quelques chopes a la population,car le peuple aime les choses simples et pas les beaux discourts,croyez moi.
str_npc14_kingsupport_3|Donnez-moi quelques semaines et je ferai savoir à tous que c'estoit fatalement vous pour unifier la France. Pour estre Duc ou Duchesse il faut avoir la capacité de régner sur tout un ensemble de paysans et de nobles. Et nul autre que vous ne présente une telle capacité, compagnon.
str_npc15_kingsupport_3|Cela me fait très plaisir. Voici ce que je vous propose. J'ai quelques connaissances dans les guildes locales, ce sont des hommes comme moi qui se sont fait rouler. Voici ce que je leur dirai, que vous êtes honnête. Que vous honorez le travail bien fait. Que vous paierez vos dettes. Que vous ne réduirez pas vos sujets à la mendicité.
str_npc16_kingsupport_3|Donnez-moi quelques semaines et je ferai le tour des châteaux de mes anciens employeurs. Je me servirai de mon charme pour leur chanter une jolie balade sur ce que vous ferez une fois {Duc/Duchesse}, sur toutes les anciennes libertés que vous rétablirez. Je dirai que vous laisserez les nobles voler leurs fermiers, taxer les marchands, guerroyer, dépenser sans compter et sans penser au lendemain ! Qu'en dites-vous, capitaine ?
str_npc1_kingsupport_objection|Chef, vous avez autorisé Enguerrand à dire aux nobles qu'ils auront des droits sur les pâtures, les marchés et les forêts ? J'avoue que cela ne me plaît guère. Si vous le laissez faire, il érigera dans tous les villages du pays des potences où se balanceront de pauvres bougres comme moi dont le seul crime est d'avoir pris un arc pour aller chasser dans les bois afin de nourrir toute la famille.
str_npc2_kingsupport_objection|Capitaine, Renaud parcourt ce pays en promettant aux seigneurs que vous les laisserez régler leurs querelles par la force et la violence. Vous savez comment cela va finir, n'est-ce pas ? Généralement, ce sont les marchands et les voyageurs qui empruntent les routes reliant leurs forteresses qui se font piéger dans leurs petites querelles. Tous les prétextes sont bons pour s'en prendre aux caravanes. J'espère sincèrement que c'est un malentendu, {Messire/madame}.
str_npc3_kingsupport_objection|Capitaine, Pierrick s'est lancé dans une sorte d'expédition en prétendant que vous l'approuvez. Il dit qu'il va parcourir les villages de ce pays pour annoncer à leurs habitants que lorsque vous serez {Duc/Duchesse}, vous ferez pendre tous les voleurs et bandits. {Messire/Madame}, je suis fils de marchand et je sais à quel point le brigandage est un fléau. Je sais aussi que beaucoup ont subis de grandes injustices. Mais vous ne pouvez pas condamner des hommes à la pendaison aussi aveuglément. La clémence doit avoir sa place dans votre souveraineté.
str_npc4_kingsupport_objection|{Messire/Madame}, j'ai entendu dire que vous voulez annoncer à tous les bourgeois que vous revendiquez un duché parce que vous savez comment investir l'or pour le faire fructifier. C'est insensé, ils ne pensent qu'à entretenir leur situation, se moquant bien de la misère des paysans. Je ne peux que désapprouver cette attitude.
str_npc5_kingsupport_objection|Capitaine, j'ai entendu ce que Renaud vous a proposé, et je ne suis pas du tout d'accord, mais alors pas du tout. C'est une entorse à mes convictions, de plus cela ne vous aura pas échappé qu'il est souffrant n'est ce pas.
str_npc6_kingsupport_objection|Je sais que vous avez dépêché Gaspard pour répandre une rumeur sur vos prétendues origines nobles. Sachez, capitaine, que je doute que cela soit la meilleure façon d'accéder à des terres et au pouvoir.
str_npc7_kingsupport_objection|J'ai entendu ce que vous avez dit, vous comptez laisser tous les criminels faire appel auprès {du Duc/de la Duchesse}. Je désapprouve, surtout pour les responsables d'intrigues, c'est faire injure au petit peuple.
str_npc8_kingsupport_objection|Chef, tu as envoyé cet abrutis pour dire aux seigneurs de ce pays que tu compte imposer une paix sous laquelle nul ne devra régler ses différends à l'épée. Nous laisserais-tu donc tous mourir dans nos lits, touché par la faux du temps ?
str_npc9_kingsupport_objection|{Messire/Madame}, il paraît que vous avez demandé à Hermance de prévenir le peuple que vous rendriez la liberté à tous les tordus du pays et que vous distribueriez l'argent de la couronne à tous les gueux. J'espère qu'il s'agit d'un malentendu. {Messire/Madame}, si votre futur règne doit être le paradis des scélérats, je n'ai guère envie d'y vivre.
str_npc10_kingsupport_objection|J'ai appris que vous avez demandé à Guillaume d'inventer des histoires et de payer a boire a la population pour justifier votre accession au trône. Je ne peux que désapprouver, {Messire/madame}. Si les hommes combattent pour un souverain, cela doit être parce qu'ils savent qu'ils vont en tirer quelque chose de positif, pas parce qu'ils ont eu a boire gratuitement.
str_npc11_kingsupport_objection|J'ai entendu dire que vous voulez annoncer au peuple que vous allez devenir {Duc/Duchesse}, puis mener une armée par-delà les montagnes. Ces guerres n'en finiront-elles donc jamais, {Messire/jeune fille} ? Je pensais qu'en devenant {Duc/Duchesse}, vous nous offririez un peu de paix. Mais je suppose que le ciel veut que le sang des Français soit répandu et que leurs os soient brisés. Dans ce cas, nous ne pouvons que nous incliner.
str_npc12_kingsupport_objection|Messire, j'ai entendu dire que vous avez fait de cete Blanche une sorte d'ambassadrice de l'aristocratie. Je n'ose imaginer, même par feinte, ce que cette fille amorale risque de leur promettre en votre nom. C'est une insulte envers tous ceux qui espéraient que vous aideriez la France à échapper à ce passé diabolique pour entrer dans une nouvelle ère de paix divine et de connaissance du Divin et du respect des sciences.
str_npc13_kingsupport_objection|J'ai entendu dire que vous avez autorisé Nortimer à présenter un exposé minant tout ce qui est cher à la population de ce pays et accusant les anciens rois de meurtre et d'usurpation. Capitaine, je sais que le peuple a besoin de héros à admirer et d'un âge d'or à retrouver. fonderiez vous un Duché dans lequel les cyniques et les érudits nous dicteront ce en quoi nous devons croire ? Rien ne serait plus stupide.
str_npc14_kingsupport_objection|Vous avez envoyé annoncer à tous que sous votre règne, vous libérerez tous les scélérats de ce pays. Quelle drôle d'idée, compagnon, les laboureurs et les fermiers seront encore les premières victimes de ce maléfice.
str_npc15_kingsupport_objection|Il paraît que vous avez envoyé Florentin répandre des sottises à propos de marques sur vos mains. J'avoue que cela me gêne beaucoup que vous ayez recours à de telles superstitions pour appuyer vos revendications. Les villageoises croient une chose un jour et autre chose le lendemain. Cela dit, un horoscope sérieusement réalisé par un astrologue réputé d'une université royale pourrait vous révéler des choses intéressantes, mais cela ne se fait plus en France depuis un certain temps.
str_npc16_kingsupport_objection|Hé capitaine, il paraît que vous allez promettre aux marchands que vous leur servirez la France sur un plateau d'argent. J'espère que ce n'est pas sérieux. Lorsqu'un noble seigneur organise un banquet, il lance toujours quelques piécettes aux pauvres et veille à ce que les serviteurs rentrent le ventre plein. En revanche, lorsqu'un marchand marie sa fille, vous pouvez vous estimer heureux si l'on vous garde quelques miettes. Du moins, d'après mon expérience.
str_npc1_intel_mission|Eh bien, Messire, il se trouve que j'ai des cousins à {s17}, et contrairement à d'autres membres de ma famille, ils me supportent encore. Ils vendent des chevaux, je leur ai même fourni des bêtes de temps à autre. Et en exerçant leur métier dans les châteaux et grandes salles du {s18}, ils entendent des tas de ragots. Je pourrais aller passer quelques jours là-bas pour vous rapporter quelques informations.
str_npc2_intel_mission|{Messire/Madame}, si ce qui se passe au {s18} vous intéresse, je peux prendre contact avec mes anciens partenaires commerciaux de {s17}. Ils sont généralement bien informés sur le plan politique.
str_npc3_intel_mission|Capitaine, je ne peux pas retourner chez mon père à {s17}, mais je peux encore prendre contact avec ma soeur. Elle saura ce qui se passe au sein des grandes maisons marchandes et nous en dira peut-être plus sur l'état du {s18}.
str_npc4_intel_mission|{Messire/Madame}, si vous pouviez m'accorder quelques jours, j'aimerais aller chercher des informations auprès d'une vieille famille de paysans à {s17}, elle a des contacts privilégiés avec {s18}. C'est une brave maisonnée, du genre qui parle peu mais écoute beaucoup. Je suis sûr qu'après un verre ou deux le patriarche pourrait nous dire quelle politique domine ces contrées.
str_npc5_intel_mission|Eh bien capitaine, si vous le désirez, je peux prendre quelques jours pour aller rendre visite à une partie de ma famille à {s17}, ils me supportent encore. Ils vendent des armures, et je connais la plupart des artisans et marchands qui exercent le métier dans les châteaux et les villes du {s18}. Ils entendent des tas de ragots, je pourrais aller passer quelques jours là-bas pour vous rapporter quelques informations.
str_npc6_intel_mission|Capitaine, bien qu'on ne m'apprécie guère à {s17}, je pourrais y rencontrer mes anciens employeurs. Je les ai personnellement sorti d'une affaire fort délicate, et ils occupent désormais un rang important dans la société, ils me jugent bien moins sévèrement que bien d'autres. Si vous m'accordez quelques jours, je pourrais peut-être recueillir des informations intéressantes sur le {s18}.
str_npc7_intel_mission|Chef, lorsque j'ai quitté ma dernière demeure autrement dit au cachot de {s17}, j'ai juré de ne jamais plus y retourner, mais il se trouve que j'ai des contacts avec les gens du bas quartier, ils me révéleront peut-être des informations utiles sur le {s18}.
str_npc8_intel_mission|Si les événements du {s18} t'intéressent, un de mes anciens compagnons d'armes à la retraite possède maintenant une ferme près de {s17}. Il est resté en contact avec d'autres anciens guerriers on va dire. Je pourrais lui rendre visite quelques jours pour en savoir plus sur ce qui se passe là-bas ca me donnera l'occasion de prendre une cuite.
str_npc9_intel_mission|{Messire/Madame}, il y a bien longtemps que je n'ai pas goûté aux délices de {s17} où les gens de bonne famille comme moi ont une haute opinion de l'hospitalité des plus puissants et des plus généreux. Si vous le souhaitez, je peux me rendre sur place et m'enquérir des problèmes et des préoccupations qui tourmentent la vraie noblesse du {s18}.
str_npc10_intel_mission|Capitaine, je pense que mes anciens camarades de garnison de {s17} seraient heureux de me voir. Ce sont des hommes droits, incapables de trahir la ville, mais comme moi, ils n'ont aucune affection particulière pour les nobles qui les commandent et n'hésiteront pas à me faire part de quelques ragots. La petite noblesse se querelle toujours pour des broutilles, mais s'il existe de vrais motifs de dissension, mes amis seront certainement au courant.
str_npc11_intel_mission|Capitaine, je n'ai pas rendu visite aux miens, à {s17}, depuis longtemps. Ils ont toujours été très gentils avec moi, en particulier dans les moments difficiles, aussi aimerais-je leur faire profiter de ce que je possède désormais. Les marchands de céréales de Dijon me connaissent bien et me font confiance. Si cela vous intéresse, je pense qu'ils n'hésiteront pas à me révéler des informations utiles sur ce qui se passe au sein du {s18}.
str_npc12_intel_mission|Si vous le permettez, Messire, j'aimerais rendre visite à un de mes disciples, désormais au service du seigneur de {s17}. J'avais placé de grands espoirs en lui, mais j'ai ouï-dire qu'il a récemment approuvé l'usage de la pomme dans le traitement de la paralysie. Ce diabolique simulacre de médecine nécessite impérativement mon intervention. Une fois sur place, si cela vous intéresse, je pourrai interroger mon élève sur ce qui se passe à {s17}.
str_npc13_intel_mission|{mon ami/Madame}, si possible, je souhaiterais me rendre dans les vallons voisins de {s17}. J'essaie de ne pas retourner sur mes anciens pâturages, mais je dois avouer que j'aimerais prendre des nouvelles d'une belle bergère de ma connaissance. En chemin, je pourrais m'arrêter au château. Grâce à mon charme, je ne devrais avoir aucun mal à entrer chez le seigneur afin d'y glaner pour vous quelques informations sur le {s18}.
str_npc14_intel_mission|Compagnon, j'ai souvent éscorté le ravitaillement de la garnison de {s17}. L'intendant m'a inviter à lui rendre visite, en quoi il me donnera des informations sur ce qui se passe au sein du {s18}. Si vous me le permettez, j'aimerais accepter cette invitation.
str_npc15_intel_mission|Capitaine, comme vous le savez peut-être, j'aimerais me rendre à {s17} pour en étudier la structure, l'un des plus beaux exemples de l'ancien style. Il se trouve que l'un de mes collègues travaille actuellement à la réparation du mur d'enceinte. Bien que son professionnalisme l'empêche, selon moi, de me divulguer la moindre faiblesse dans ses défenses, ce qui est tout à son honneur, je pense qu'il me donnerait volontiers sont avis sur l'état général du {s18}, si cela vous intéresse.
str_npc16_intel_mission|Oh capitaine, j'ai envie de rendre visite à mes vieilles fréquentations de {s17}. Je dirai simplement que le seigneur et la dame du lieu m'avaient demandé un certain service, et avaient été un peu laxistes sur le paiement. Je ne veux pas les mettre en difficulté en leur faisant connaître le but de ma visite, mais je pourrais avoir une petite conversation avec mon vieil ami l'intendant qui me laissera entrer et me parler du {s18}.
str_npc1_fief_acceptance|Vous feriez de moi le seigneur de {s17}, Messire ? Eh bien, ce serait la chose la plus aimable qu'on ait fait pour moi depuis longtemps. Hé, j'y mettrai tout mon coeur, je vous l'assure. Mais j'ignore quelle sera la réaction des autres seigneurs lorsqu'ils me découvriront.
str_npc2_fief_acceptance|{s17} comme fief ? Eh bien, je sais acheter et vendre, mais pas gouverner. Cela dit, en y réfléchissant, je pense qu'avec moi cet endroit pourrait rapporter gros. Je vous remercie, {mon seigneur/madame}, c'est une proposition très aimable de votre part.
str_npc3_fief_acceptance|{Messire/Madame}, c'est très généreux à vous de me proposer {s17}. C'est avec grand plaisir que je m'en occuperai et que je veillerai au bien-être moral et matériel de ses habitants.
str_npc4_fief_acceptance|C'est généreux à vous de m'accorder {s17} comme fief. Votre choix est judicieux et un duché peut être fier d'avoir comme vassal un homme venant de la terre. Vous pouvez compter sur moi pour administrer ce domaine sans l'aide des militaires.
str_npc5_fief_acceptance|Vous feriez de moi le seigneur de {s17}, capitaine ? Eh bien ce serait le plus beau cadeau qu'on puisse rêver. J'y mettrai tout mon coeur, je vous l'assure. J'ignore quelle sera la réaction des autres seigneurs lorsqu'ils découvriront l'auguste compagnie du rebelle que je suis devenu, en tout cas j'assumerai mes nouvelles responsabilités.
str_npc6_fief_acceptance|Capitaine, je trouve étonnant que vous me jugiez digne de diriger des hommes alors que toute ma vie je n'ai cessé de recevoir des ordres. Mais si tel est votre souhait, ce sera pour moi un grand honneur de m'occuper de {s17} en votre nom et de me consacrer à la protection de ses habitants. Pour cela, je connais les meilleurs et les plus efficaces mercenaires d'Europe.
str_npc7_fief_acceptance|Oui, je m'occuperai de {s17} et je lui forgerai une réputation qui suscitera la peur chez les comploteurs. Merci pour cette opportunité, vous etes un gouverneur digne de ce nom.
str_npc8_fief_acceptance|Tu ferais de moi un gouverneur ? Eh bien, je suppose que je peux remettre à plus tard le pillage pour me mettre a la décoration de la salle du trone de {s17}. Ne t'inquiete pas je plaisante, c'est d'accord je m'occupperais de ces gens.
str_npc9_fief_acceptance|{Messire/Madame}, j'ai perdu un domaine et une puissant famille, mais aujourd'hui avec cette offre je vais pouvoir reconstruire tout cela de mes mains sans le devoir a personne, justice de Dieu est rendue. Ce sera pour moi un grand honneur de vous servir, de combattre et de protéger ce fief en votre nom.
str_npc10_fief_acceptance|Vous voudriez faire de moi un seigneur ? Eh bien, non merci. En revanche, si vous voulez que je devienne un tribun, un défenseur du peuple, je me résoudrai peut-être à diriger {s17} pour vous. Je nourrirai les affamés et lèverai une force de fantassins pour combattre en votre nom, {Messire/madame}. Mais je doute que les nobles apprécient ma présence dans vos conseils.
str_npc11_fief_acceptance|Ah ! Vous accorderiez un titre de noblesse à un roturier ? Eh bien, j'aurais tort de refuser. La vie nous joue parfois de drôles de tours. Vous imaginez un peu ? je deviendrais quelqu'un dans le royaume de France !
str_npc12_fief_acceptance|Eh bien Messire, je ne suis guère favorable au système des fiefs. Les fermiers et les propriétaires terriens devraient s'occuper de leurs propres affaires, sous le regard distant du souverain mais en toute communion avec Dieu. Cela étant dit, on a déjà connu beaucoup trop d'usurpateurs possédés par satan pour que l'on prenne ce risque. Confiez-moi les rênes de ce territoire et je mettrai tout en oeuvre pour éradiquer toutes traces du malin, même s'il me faudra du temps pour y arriver.
str_npc13_fief_acceptance|Comme c'est gentil et généreux , {l'ami/madame} ! Permet-moi de rendre grâce à ta sagesse.a ta...excuse moi,mais je ne me sent pas en forme, mais j'accepte quois que ce soit et nous aviserons plus tard.
str_npc14_fief_acceptance|Vous feriez de moi un baron avec un chasteau ? Eh bien, j'en ferai hommes non chalans de labourer et cultiver la terre. Faisant vertu de ne communiquer point aux malheurs et misères de leur païs. Icy je fais pour tousjours ma demeure.
str_npc15_fief_acceptance|Eh bien, {Messire/madame}, voilà un acte très généreux qui fait de vous le genre de monarque capable de sauver ce pays de l'incompétence actuelle. Je crains que bon nombre de nobles seigneurs locaux ne pensent qu'un roturier tel que moi n'est pas digne de diriger un fief. Mais lorsqu'ils verront ce que j'en fais et les revenus que j'en tire, ils changeront d'attitude !
str_npc16_fief_acceptance|Oh comme c'est généreux, capitaine ! J'ai fréquenté beaucoup de salles d'honneur et de domaines, pas toujours avec la permission de la maîtresse des lieux, je l'avoue, mais jamais je n'aurais osé rêver en posséder un moi-même. Laissez-moi réfléchir, lorsque je percevrai mes premières rentes, que pourrai-je m'offrir, la plus belle des robes de cour ?
str_npc3_woman_to_woman|Si vous me permettez, madame, je crois que vous êtes l'un des plus grands guerriers de ce royaume. Mais curieusement, aucun roi ne vous a encore offert de fief. Peut-être parce que vous êtes une femme. Peu importe, personnellement je pense que vous vous ferez une place parmi les grands seigneurs, même si vous devez vous battre deux fois plus longtemps et deux fois plus dur pour obtenir votre dû !
str_npc7_woman_to_woman|Madame, vous avez combattu longtemps et âprement la racaille, et votre victoire fait de ces terres un endroit plus sûr. Vous méritez d'avoir votre propre fief, et je pense que si vous n'étiez pas une femme, un Duc vous en aurait déjà offert un. Les hommes sont ainsi dans ces tristes contrées, ils nous laissent combattre en première ligne et subir les coups de l'ennemi, mais lorsqu'il s'agit de se répartir le butin, ils nous relèguent à l'arrière-plan.
str_npc8_woman_to_woman|Mes excuses {playername}. Je tiens à te féliciter, tu es en train de te forger une réputation de redoutable guerrière. Si tu était un homme, je suis sûre que les rois de ce pays se bousculeraient pour faire de toi leur vassal. Hélas, dans ce monde, les femmes doivent se battre deux fois plus uniquement pour obtenir ce qui leur est dû.
