stringsfile version 1
3209
str_no_string NO_STRING!
str_npc9_home_intro Hm,_we_are_getting_closer_to_my_lord's_former_estate._I_still_remember_the_months_spent_in_his_service._I_couldn't_say_that_they_were_wasted_months_of_my_life,_because_I_got_to_trounce_his_squires_and_sons_in_the_training_yard_each_day_until_they_could_take_no_more._The_funny_thing_was,_since_they_were_chivalrous_to_the_bloody_bone,_they_couldn't_just_yield_at_the_first_drop_of_blood._But_then_his_over-eager_wife_appeared.
str_npc10_home_intro We_are_approaching_the_first_French_domain_in_which_I_served_as_master-at-arms._It_was_an_interesting_experience_to_say_the_least.
str_npc11_home_intro I_see_the_mountains._We_must_be_getting_near_home.
str_npc12_home_intro We_are_close_to_a_site_of_great_iniquity_and_sin._It_would_be_best_if_we_didn't_linger.
str_npc13_home_intro Such_beautiful_castles_here_in_France._I_don't_know_how_you_people_can_suffer_the_cold_of_Winter,_however._I_come_from_Granada_and_there,_it_is_always_warm_and_pleasant._And_so_peaceful.
str_npc14_home_intro You_see_that_castle_aye?_That_was_my_first_assignment_in_this_land_of_turmoil_my_friend._I_was_supposed_to_train_the_lord's_men_in_the_Italian_style_of_combat_and_train_them_I_did._The_lord_of_the_domain_was_so_fond_of_my_methods,_he_soon_had_me_teaching_his_squires_and_his_sons_the_same_methods._But_I_learned_one_important_thing_about_these_Frenchmen_in_the_process.
str_npc15_home_intro That_is_the_castle_where_I_was_employed_as_the_lord's_personal_doctor_and_barber_shortly_before_I_met_up_with_you._My_memories_of_it_are_rather_pleasant.
str_npc16_home_intro Aye,_captain,_do_you_see_those?_Those_are_hare_tracks_in_the_snow._We_must_be_getting_near_to_my_birthplace.
str_npc1_home_description And_your_foes_are_human,_flesh_and_blood,_most_importantly._I_swear_by_my_sire's_bones,_the_Poles,_the_Lithuanians_and_most_importantly_the_Ruthenians_are_not_of_God's_making,_though_this_may_be_heresy._The_Polish_knights,_though_they_may_be_arrayed_similarly_to_the_ones_you_see_here,_have_a_resilience_unlike_many_others_given_unto_them_by_the_cold_wilderness_they_live_in._And_the_Ruthenians,_with_their_animal_furs_that_give_them_the_strength_of_bears._And_I_don't_have_to_mention_the_Tartars,_who_ride_as_if_they_were_united_to_those_shaggy_beasts_they_call_horses.
str_npc2_home_description I_was_travelling_with_Lord_Graham_through_France_since_he_was_going_to_pay_homage_to_Edward_the_Third_at_Calais,_but_we_stopped_in_Paris_on_the_way._There_was_a_tournament_for_squires_going_on_at_the_time,_and_Lord_Graham_graciously_allowed_me_to_enter_and_test_my_skill_against_all_the_other_squires._I_entered_the_tournament_and_rode_against_several_squires_who_were_all_older_than_me._There_was_even_one_squire_who_was_as_old_as_my_master,_a_man_grown_in_his_own_right._But_what_makes_me_smile_when_I_think_back_to_that_day_is_the_thought_that_I_defeated_a_Prince_of_England.
str_npc3_home_description Some_bastards_have_it_lucky_from_the_start,_especially_the_bastards_of_kings._Well,_I_am_one_but_my_father_hasn't_been_quite_gracious_to_me,_as_of_yet._Perhaps_he_still_wishes_to_measure_my_worth._At_least_I_know,_in_my_heart,_that_I_am_of_better_quality_than_some_of_my_half-brothers._I_may_not_fight_as_well_as_them,_but_God_is_my_witness_when_I_say_that_I_can_grapple_with_the_best_of_them_when_it_comes_to_things_like_managing_the_supplies_of_an_army_or_strategy._I_dare_to_say_that_like_most_Scots,_I_am_naturally_clever.
str_npc4_home_description Well,_you_see,_the_King_of_Swadia_declared_this_to_be_his_personal_hunting_preserve,_and_said_he'd_kill_any_man_who_as_much_as_strung_his_bow_here._So_what_happens?_Some_family_goes_hungry,_and_succumbs_to_the_temptation_to_poach,_and_the_king's_sheriff_comes_along_and_strings_him_up_and_takes_his_land._His_sons,_rather_than_starve,_go_bandit._And_so_naturally_anyone_in_the_whole_valley_who_feels_the_need_to_run_away_from_a_debt_or_a_nagging_wife_or_a_vengeful_noble_comes_up_here_to_join_them,_living_on_wild_pigs_and_berries_and_the_purses_of_unwary_travellers.
str_npc5_home_description Khergits_had_always_come_here,_to_trade_and_raid,_and_in_the_last_days_of_the_Empire_we_began_to_settle._Just_like_the_Vaegirs,_Swadians,_Rhodoks_and_Nords,_we_took_the_Emperor's_coin_to_keep_the_other_tribes_at_bay._But_when_the_Great_Horde_attacked_our_homeland_in_my_grandfather's_day,_we_moved_into_this_region_in_force._We_pushed_the_Vaegirs_back,_and_made_their_fortresses_our_own.
str_npc6_home_description My_life_was_a_long_row_of_harvests_and_hard_labours,_until_those_deserters_came_along_and_burned_my_village._They_freed_me_in_a_way,_so_I'd_as_like_be_grateful_to_them,_if_they_didn't_kill_almost_everyone._Bloody_robber_knights._I_wasn't_really_a_good_serf,_though_since_I_despised_my_lord_and_didn't_pray_for_his_health_each_and_every_night_as_a_good_serf_should._I_also_hunted_on_his_estates_and_relieved_him_of_many_a_deer_and_stag._They_was_good_eating,_though.
str_npc7_home_description Before_I_was_married_off,_and_before_I_was_taken_by_bandits,_I_lived_here._I_was_born_in_a_hovel_and_spent_my_childhood_in_the_fields._Our_landlords_were_Nord,_but_we_never_saw_them,_merely_their_cursed_minions_and_overseers._My_father,_coward_that_he_was,_cringed_before_them.
str_npc8_home_description Bah._They_kill_each_other_here_just_like_at_home._It's_just_that_here,_there's_a_war_going_on,_so_all_the_more_reason_to_kill_each_other_if_they_have_a_good_excuse_at_hand._Well,_not_so_easy_if_you're_an_Englishman_killing_other_Englishmen_but_still,_not_like_anything_is_really_holding_you_back._Love_of_one's_country?_Don't_make_me_laugh._What_surprised_me,_though,_is_how_many_mercenaries_these_French_use._You_see_Germans,_you_see_Italians,_hell_you_even_see_Scotsmen!
str_npc9_home_description She_found_the_fact_that_I_beat_her_sons_in_the_training_yard_without_a_single_consideration_for_their_higher_status_as_very_attractive._And_since_I'm_never_one_to_turn_a_willing_woman_down,_things_went_from_bad_to_worse._I_understood_her,_though._Since_her_husband_was_somewhat_old,_he_might_have_forgotten_which_direction_was_up._One_night,_I_took_her_in_the_lord's_own_bed_while_he_was_away_on_a_hunt._I_guess_hunts_were_the_only_occasions_when_he_could_actually_kill_something_with_his_own_feeble_hands,_because_he_was_too_old_to_ride_out_and_fight_like_the_younger_lords._Imagine_my_surprise_when_I_saw_him_entering_the_bedroom,_sword_in_hand.
str_npc10_home_description Now,_when_I_first_came_to_France_in_search_of_employment_I_came_here_thinking_to_serve_only_English_lords,_but_it_turned_out_that_most_of_them_had_their_own_masters-at-arms_and_not_many_of_them_were_actually_English._Many_of_them_were_foreigners,_mostly_mercenaries_come_to_take_advantage_of_this_war-torn_land._That_saddened_me_but_soon_I_was_forced_to_pledge_service_to_a_French_lord_and_become_something_akin_to_a_mercenary_myself._Now_I_went_there_thinking_the_Frenchmen_would_be_push-overs_but_I_was_surprised_to_see_that_they_were_able_fighters_as_well_as_exceptional_riders.
str_npc11_home_description I'm_from_Praven._You_know_the_saying,_{sir/madame}_--_'Barley_grown_in_Uxkhal_is_made_into_ale_in_Praven,_and_we're_all_the_better_for_it.'_Not_sure_what_that_means,_{sir/madame},_but_it's_true_about_the_barley._And_wheat,_and_oats._We_grow_more_grain_here_in_the_Vale_of_Uxkhall_then_all_the_rest_of_Calradia_put_together,_and_our_ale_is_the_best,_too._You_can_see_it_in_the_soil_here_--_rich_and_black,_and_smells_of_good_harvests_and_full_bellies.
str_npc12_home_description That_castle_yonder_was_the_first_and_only_castle_in_which_I_served_as_a_chaplain_shortly_before_I_retired_to_a_monastery._I_ministered_to_the_lord_and_his_family._Well,_mostly_his_wife_to_be_honest,_since_the_master_of_the_domain_and_his_sons_weren't_much_at_home._They_were_often_travelling_to_some_tournament_or_other,_or_off_hunting._That_left_me_alone_with_quite_an_amount_of_wine_and_a_woman_who_was_awfully_lonely._But_my_virtue_was_strong,_and_I_never_touched_the_lady_of_the_castle._The_wine,_however,_was_another_matter_entirely_I'm_afraid.
str_npc13_home_description The_Spaniards,_however,_are_ever_encroaching_on_our_peace._Their_outriders,_the_hidalgos_as_they_call_them,_always_raid_our_border_villages,_killing_and_burning_as_much_as_they_can_before_our_own_riders_can_fight_them._Then_we_strike_back,_and_burn_some_of_their_own_villages._It_has_been_like_this_ever_since_I_was_born,_and_it_will_probably_be_like_this_after_I_die.
str_npc14_home_description Now_I_came_here_thinking_that_these_French_are_one_people,_not_like_us_Italians._We're_a_divided_people_and_only_a_foreigner_will_call_us_Italians._Among_ourselves,_we_are_either_Genoese,_Milanese,_Florentines,_Venetians_and_many_more_cities_and_countries_in_between._These_French_are_the_same._They_are_all_Armagnac,_Bourbon,_Valois_or_what_have_you._I_thought_them_wiser_but_this_is_why_the_English_keep_defeating_them._The_English_are_united_under_one_king_and_ruler,_the_French...not_so_much,_sadly.
str_npc15_home_description I_say_this_because_I_truly_was_a_man_being_paid_for_doing_nothing._Since_the_lord_was_rather_uninterested_in_matters_of_war_or_tournaments,_he_rarely_if_ever_got_hurt._He_was_also_in_the_best_of_health_so_there_was_no_need_to_cure_diseases._He_sometimes_need_the_occasional_shave,_I_must_admit,_but_all_in_all_I_spent_my_mornings_admiring_the_countryside_from_the_battlements_and_my_evenings_reading_from_old_books.
str_npc16_home_description The_snows_in_these_valleys_don't_melt_until_late_in_the_year,_and_the_land_is_hard_to_plough._You_can_grow_a_bit_of_barley,_but_not_much_else._But_there's_wealth_here_in_the_woods:_deer,_rabbit_and_lynx,_meat_and_furs,_and_the_mountains_have_iron,_and_traders_would_ship_enough_saltfish_up_the_river_from_the_coast_to_keep_the_people_fed_for_the_winter.
str_npc1_home_description_2 Remember_my_friend._You_have_not_seen_the_terrors_God's_green_earth_can_offer_you_if_you_haven't_spent_a_winter_in_the_furthest_reaches_of_Prussia,_where_the_demons_of_old_still_hold_sway.
str_npc2_home_description_2 During_my_last_tournament_match,_I_fought_against_a_tall_squire_who_wore_a_full_helm,_worthy_of_a_knight._Despite_the_heat_of_the_day,_he_had_his_visor_down_and_as_for_heraldic_arms,_he_bore_none_on_his_shield,_merely_a_sable_field._His_skill_was_surprisingly_poor_for_all_his_impressive_panoply_but_he_was_still_defiant_and_he_defended_his_honour_fiercely._At_the_end_of_the_match,_however,_he_was_beaten_and_I_requested_him_to_take_off_his_helm_and_show_himself._He_did_so,_and_imagine_my_surprise_when_I_saw_that_I_had_just_battered_Prince_Thomas_of_Woodstock._He_praised_me_on_my_skill,_as_a_gentleman_should_then_asked_me_who_my_lord_was._I_will_treasure_that_day_for_as_long_as_I_live.
str_npc3_home_description_2 Of_course,_I_may_be_wrong,_since_there_are_so_many_brave_peoples_on_God's_green_earth,_but_who_have_suffered_more_than_the_Scots?_The_English_have_tried_so_many_times_to_conquer_us_and_make_us_bend_the_knee_to_them,_but_heroes_like_Wallace_or_Robert_the_Bruce_have_kept_our_country_free._For_how_long,_I_wonder?_I_believe_that,_if_we_were_as_clever_as_we_hold_ourselves_to_be,_we_should_ally_with_the_English_and_make_them_our_friends._Then,_we_can_sapp_the_strength_of_their_kingdom_from_the_inside,_and_make_it_ours._What_force_of_arms_cannot_accomplish,_wise_diplomacy_and_scheming_can._But_I_dawdle._I_wonder_if_we_can_find_supplies_in_that_town_yonder._I'm_aching_for_a_warm_meal.
str_npc4_home_description_2 How_do_I_know_this,_you_ask?_Well..._I_was_taken_by_them,_and_held_for_ransom,_but_I_got_away._That's_really_all_there_is_to_tell.
str_npc5_home_description_2 Of_course,_you_know_how_things_go._My_father's_generation_were_hard_warriors_from_the_cold_lands_across_the_mountains,_but_this_generation_all_has_houses_in_the_town_and_great_estates_and_spend_time_as_much_trading_as_they_practicing_archery._The_next_generation_will_grow_soft_on_Velucan_wine_and_will_lose_their_lands_to_the_next_batch_of_illiterate_hill-raiders_to_come_over_the_mountains,_just_you_watch._It's_how_things_always_were,_and_how_things_always_will_be.
str_npc6_home_description_2 I_imagine_though_that_his_men_would_have_hung_me_nice_and_proper_if_they_was_to_catch_me_in_the_forests._A_life_of_hiding_from_m'lord's_men_in_the_bushes_and_tall_grass,_and_even_in_bear_dens_has_taught_me_to_be_aware_of_tracks_on_the_ground,_and_of_my_surroundings._I_think_I_could_have_made_a_good_scout_if_I_wasn't_a_peasant._Be_that_as_it_may,_I'm_glad_you_found_me._Who_knows_what_I_would_have_been_if_you_didn't._Hanging_by_my_neck_in_a_town_square,_as_like_since_I_doubt_I'd_have_been_a_good_robber.
str_npc7_home_description_2 We_were_allowed_to_fish_the_river,_raise_pigs_amid_the_reedbeds,_and_grow_whatever_we_could_in_our_private_plots,_but_in_the_open_fields_we_were_only_permitted_to_grow_flax,_to_be_taken_to_Sargoth_and_woven_into_linen._So_we_were_always_hungry,_and_weak,_and_never_had_the_courage_to_rebel.
str_npc8_home_description_2 These_French_seem_to_think_that_if_the_English_longbows_are_so_bloody_common_among_the_English,_why_not_have_their_own?_But_they_bring_it_up_a_notch!_They're_French,_after_all._They_have_their_longbowmen,_Scottish_longbowmen_mind_you,_be_a_company_of_elite_troops_and_usually_follow_the_king_around!_Compare_that_to_plain_English_longbowmen_that_are_usually_peasants._Yes,_skilled_and_dangerous_peasants_but_peasants_all_the_same._But_I_feel_slighted_when_I_look_at_all_these_Scots_coming_here_to_put_their_lives_on_the_line_for_France._If_only_the_bastards_did_that_for_their_own_country,_the_English_wouldn't_be_holding_us_by_the_balls,_like_they_are_now.
str_npc9_home_description_2 I_could_have_slain_him_there_and_there,_but_I_deemed_not_to_do_so_for_the_sake_of_his_wife._When_she_started_saying_that_I_had_seduced_her,_however,_I_could_have_strangled_both_of_them._Luckily_for_them_several_guardsmen_stormed_into_the_room._Then_that_duel_took_place._After_my_lord_died,_his_estate_was_inherited_by_his_younger_son,_who_now_rules_it._I_think_you_can_imagine_his_anger_if_he_were_to_see_me_now_and_my_anger_at_the_sight_of_his_whore_of_a_mother_would_be_even_greater._You_can_understand_if_I'll_wait_for_you_in_the_tavern,_right?
str_npc10_home_description_2 Of_course,_these_Frenchmen_couldn't_hold_a_candle_to_hardened_English_knights_when_on_foot,_but_mounted_on_one_of_their_destriers,_they_might_just_stand_a_chance._If_ever_there_is_an_open-minded_commander_in_this_land,_he_would_have_French_horsemen_and_scouts_along_with_English_footmen_and_archers._Few_could_beat_such_a_host,_and_I_would_wager_my_life_on_that,_captain.
str_npc11_home_description_2 The_Swadian_king_will_tell_you_that_Praven_was_the_biggest_city_in_Calradia_back_under_the_Empire,_and_that's_why_he_should_rule_the_whole_land_today._Mind_you,_I_don't_care_much_about_politics,_{sir/madame}_--_I've_sold_provisions_to_every_army_that_ever_marched_in_Calradia,_and_I_tell_you_that_I_wouldn't_give_a_single_one_of_them_a_single_biscuit_unless_I_had_the_cold,_hard_Florins_in_my_hand_first._Why_these_high_and_mighty_kings_and_nobles_can't_pay_their_bills,_I'll_never_know._But_I_prattle_on_a_bit,_there,_don't_I?
str_npc12_home_description_2 One_bad_turn_came_to_another_and_I_was_eventually_caught_by_the_castellan_while_I_was_drinking_the_chapel_wine._I_was_also_taking_some_liberties_with_a_scullion._But_that_is_not_what_matters!_I_have_since_reedemed_myself_by_leading_the_souls_of_many_repentant_sinners_to_salvation,_whether_they_wished_it_or_not._The_Lord_does_work_in_mysterious_ways,_wouldn't_you_agree,_captain?
str_npc13_home_description_2 Now,_though,_these_English_who_also_fight_the_French_here_have_gotten_involved_in_our_wars,_and_it_might_be_to_our_favour._The_crown_of_the_king_of_Castile,_King_Juan,_is_contested_by_the_English_prince_John_of_Gaunt_who_claims_that_his_wife,_Constance_I_believe,_is_the_rightful_queen_of_Castile._Matters_are_complicated,_but_from_what_I_understand,_the_father_of_King_Juan,_the_late_King_Enrique,_who_was_a_bastard_of_the_former_King_Alfonso_the_Eleventh,_took_the_crown_by_killing_his_half-brother_Pedro,_who_was_Alfonso's_rightful_son._Constance_is_Pedro's_daughter,_so_she_has_royal_blood_and_could_claim_her_cousin's_throne._God_willing,_Granada_will_come_out_better_from_this_conflict.
str_npc14_home_description_2 But_then_again,_that_is_good_for_us_Genoese,_and_for_our_rivals_the_Venetians_and_for_any_Italian_actually_coming_here_to_sell_his_sword,_or_his_crossbow,_or_increasingly_enough,_his_halberd._The_Swiss,_however,_are_doing_the_same_thing_and_so_are_the_Germans._But_if_someone_were_ever_to_unite_the_French,_I_doubt_that_all_the_mercenaries_in_this_world_could_hope_to_stop_them_from_defeating_the_English._I_doubt_that_will_happen_even_in_fifty_years,_however.
str_npc15_home_description_2 The_old_leather-bound_tomes_had_been_passed_down_over_the_generations,_and_the_castellan_told_me_that_the_oldest_of_them_dated_back_to_the_time_when_Charlemagne_was_King_of_the_Franks._You_can_imagine_how_long_ago_that_was,_captain._The_old_tomes_spoke_of_many_things,_from_healing_to_the_history_of_France._But_alas,_the_lord_and_his_family_have_little_interest_in_them_and_the_castellan_only_kept_them_in_good_condition_out_of_habit,_not_appreciation._I_fear_that,_if_this_war_does_not_end_soon,_such_arcane_knowledge_will_be_lost_and_our_sons_and_grandsons_will_not_learn_anything_from_those_glorious_times._Let_us_hope_that_together,_we_will_bring_this_troubled_land_to_what_it_once_was.
str_npc16_home_description_2 Still,_it_was_a_thin_living,_and_there_were_always_too_many_mouths_around_to_feed._The_Vaegir_king_and_the_Khergit_khan_don't_make_life_any_easier_for_us,_squeezing_for_tax_money_the_villages_they_control,_and_raiding_for_plunder_the_villages_they_don't._Of_course,_I_can't_say_I'd_do_any_differently_do_the_same_if_I_had_a_castle_and_an_army_all_of_my_own._The_mighty_do_whatever_the_can,_and_the_humble_do_whatever_they_must.
str_npc1_home_recap Though_I_do_God's_work_in_the_lands_of_the_Order,_I_am_from_Germany.
str_npc2_home_recap I_am_an_Englishman_born-and-bred._I_lived_in_the_countryside_near_London_for_most_of_my_childhood.
str_npc3_home_recap I_was_born_in_Scotland,_like_much_of_my_low-born_brothers_and_sisters._Unlike_them,_however,_both_my_parents_are_noble.
str_npc4_home_recap Our_ancestral_barony_is_over_the_mountains,_across_the_Culdarr_pass.
str_npc5_home_recap I_was_born_in_the_highlands_on_the_other_side_of_the_mountains,_past_Tulga,_but_I_have_relatives_in_{s21}.
str_npc6_home_recap I'm_a_mere_peasant,_{m'lord/m'lady}._I_used_to_have_a_family_of_my_own_but_they_was_killed.
str_npc7_home_recap I_was_born_in_a_hovel_in_the_fens,_not_far_from_{s21}.
str_npc8_home_recap My_mother_birthed_me_in_Scotland,_and_there_she_remains_along_with_my_so-called_father.
str_npc9_home_recap I_am_an_Armagnac_Frenchman_born_and_raised_in_our_heartlands.
str_npc10_home_recap I_was_born_in_Northern_England,_close_to_York,_captain._I've_been_master-at-arms_to_many_lords_and_knights_ever_since_I_was_twenty.
str_npc11_home_recap I_was_born_in_the_train_of_an_army,_and_lived_all_my_days_in_the_train_of_an_army._My_folk_are_from_Praven,_however,_so_I_guess_that's_as_much_home_to_me_as_anywhere.
str_npc12_home_recap I_am_an_Englishman_yet_I_was_born_here_in_France._I_follow_God's_calling.
str_npc13_home_recap I_am_from_Spain,_my_{lord/lady},_from_the_once_great_Emirate_of_Granada.
str_npc14_home_recap I_was_once_a_count_of_Genoa,_but_was_unlawfully_exiled.
str_npc15_home_recap I_was_born_in_Paris_and_have_followed_the_profession_of_surgeon_ever_since_I_left_my_home._I_am_also_a_barber_of_some_skill.
str_npc16_home_recap Why,_captain,_I_was_born_in_Uslum_village,_but_my_mother_lost_her_land_to_a_scheming_relative_and_had_to_put_herself_in_bond_to_a_nearby_lord.
str_npc1_honorific {sir/madame}
str_npc2_honorific {sir/madame}
str_npc3_honorific {sir/madame}
str_npc4_honorific {sir/madame}
str_npc5_honorific {playername}_Bahadur
str_npc6_honorific {m'lord/m'lady}
str_npc7_honorific captain
str_npc8_honorific {playername}
str_npc9_honorific captain
str_npc10_honorific captain
str_npc11_honorific {laddie/lassie}_--_I_mean_Captain
str_npc12_honorific captain
str_npc13_honorific my_good_lord
str_npc14_honorific commander
str_npc15_honorific {sir/madame}
str_npc16_honorific captain
str_npc1_kingsupport_1 That's_a_great_idea,_Boss._All_these_kings_and_khans_and_landed_nobles_who_rule_now,_with_their_prisons_and_gibbets_and_scaffolds,_the_whippings_and_brandings_and_hangings_for_any_man_who_might_be_driven_by_the_crying_of_his_children_to_steal_a_loaf_of_bread,_or_maybe_a_horse_--_Calradia_deserves_something_better.
str_npc2_kingsupport_1 Well,_captain_--_I'd_support_you._I_think_you'd_give_France_the_kind_of_enlightened_rule_which_it_has_long_needed.
str_npc3_kingsupport_1 Well,_my_lord_--_I_would_worry_for_you._Our_histories_tell_us_that_power_tends_to_corrupt._But_in_the_end,_I_am_comforted_by_the_mercy_and_judgment_you_have_shown_as_captain_of_this_company.
str_npc4_kingsupport_1 Well,_captain,_I_think_that_you_would_be_the_kind_of_{king/queen}_that_well-born_gentlemen_such_as_myself_would_be_proud_to_follow_into_battle...
str_npc5_kingsupport_1 A_fine_idea,_Bahadur_-_you_have_shown_that_you_know_how_to_govern_men._Mind_that_you_govern_them_justly,_though...
str_npc6_kingsupport_1 I_cannot_judge_the_legal_merits_of_your_claim._However,_I_think_that_unlike_the_other_kings_here,_you_have_the_capacity_to_unify_this_land_--_and_that_would_put_a_stop_to_these_endless_wars,_between_kingdom_and_kingdom,_noble_and_noble,_and_brother_and_brother,_that_have_brought_us_all_into_disgrace_in_the_eyes_of_the_heavens.
str_npc7_kingsupport_1 Aye_--_you'll_do_well._You_know_how_to_treat_bandits_and_ruffians.
str_npc8_kingsupport_1 The_saga_of_Bjernstad_tells_us_that_a_man_who_does_great_deeds,_beyond_those_of_the_other_men_of_his_time,_may_claim_the_throne._I'd_say_that_you_could_make_that_claim.
str_npc9_kingsupport_1 Very_good,_my_lord._I'm_a_Vaegir_by_blood,_but_Yaroglek_never_stood_for_me_when_I_was_cheated_of_my_inheritance._So_I_don't_owe_him_anything,_and_I_say,_'Let_the_throne_go_to_the_most_valiant!'_Which_would_be_you,_{sir/my_lady}.
str_npc10_kingsupport_1 Well,_{Brother/Sister},_I_suppose_there_must_be_{kings/kings_and_queens},_and_if_there_must_be_{kings/kings_and_queens},_then_you_would_be_as_good_a_{king/queen}_as_any...
str_npc11_kingsupport_1 Why,_that's_a_fine_idea,_{laddie/lassie}!_I_suppose_I_shall_have_to_learn_to_call_you_'Majesty',_or_'Your_Grace',_then...
str_npc12_kingsupport_1 I_am_sure_that_you_would_make_a_fine_king,_captain._I_flatter_myself_that_I_am_a_good_judge_of_character,_and_you_have_demonstrated_a_capacity_for_compassion_that_far_exceeds_that_of_these_others_who_call_themselves_monarchs.
str_npc13_kingsupport_1 That_would_be_a_fine_thing,_{sir/my_lady}!_Many_is_the_tale_of_the_hero_who_has_proven_his_worthiness_to_wear_a_crown_through_valor._Perhaps_you_know_the_song_of_Antaran_son_of_Ashdab,_who_rose_from_obscurity_to_become_king_of_Dabarah._A_splendid_tale!
str_npc14_kingsupport_1 Well,_sir,_the_heavens_have_instituted_a_hierarchy_in_this_world,_and_normally_I_would_have_no_truck_with_usurpation._But_I_also_think_that_the_kings_of_this_land_are_a_weak_and_sorry_lot,_not_worthy_of_the_name_of_king,_and_that_leaves_the_crown_free_to_be_taken_by_a_better_{man/ruler},_such_as_yourself.
str_npc15_kingsupport_1 Well,_you_pay_your_men_on_time,_when_you_can,_generally_speaking._That's_the_best_qualification_for_kingship_there_is,_in_my_book._You_show_some_respect_for_the_rights_of_others.
str_npc16_kingsupport_1 Why_not,_captain?_I'm_sure_you'd_make_a_fine_{king/queen}_--_and_of_course_I'd_hope_you_remember_the_little_people_like_myself_who_did_you_a_pretty_turn_on_your_scramble_to_the_throne.
str_npc1_kingsupport_2 Sure_would,_Boss._But_let_me_tell_you_what_might_bring_others_to_your_cause_--_particularly_us_poor_folk._They_tell_us_that_in_the_old_days,_each_new_Emperor_who_took_the_throne_would_issue_a_great_amnesty_for_all_but_the_worst_prisoners_in_his_dungeons,_give_people_a_second_chance_to_make_something_of_themselves_--_like_you_gave_me_a_second_chance,_Boss.
str_npc2_kingsupport_2 Most_of_the_lords_of_this_land_--_well,_let's_just_say_that_they_never_held_a_denar_that_they_didn't_collect_as_rent_or_take_as_pillage._You,_on_the_other_hand,_have_some_experience_of_commerce_and_trade,_of_the_effort_and_risk_involved_in_making_sure_that_men_don't_go_hungry_in_Sargoth_while_there's_a_glut_of_grain_in_Praven,_to_give_an_example...._If_you_like,_captain,_I_reckon_I_could_find_some_support_for_you_among_the_merchants_and_burghers_of_this_realm.
str_npc3_kingsupport_2 I_would,_my_lord._But_I_would_strongly_recommend_that_you_reinstitute_an_old_Calradic_imperial_tradition_--_the_council_of_lords_and_commons,_drawn_from_both_the_nobles_of_the_land_and_well-educated_men_of_property,_with_the_power_to_overrule_any_new_taxes_or_other_tyrannical_measures_that_might_tempt_you._It_would_be_for_your_own_good,_{sir/my_lady}.
str_npc4_kingsupport_2 Of_course,_{captain/my_lady}._The_trick_is_now_to_get_others_to_follow_you._As_you_know,_one's_lineage_is_a_great_determinant_of_one's_worthiness._Perhaps_you_have_a_long-lost_ancestor_of_whom_you_have_not_told_me?
str_npc5_kingsupport_2 Ay,_Bahadur,_I_would._But_there_is_something_I_should_say,_on_behalf_of_the_men_of_the_steppes_such_as_myself._It_would_bring_great_joy_to_us,_to_hear_from_the_lips_of_one_who_would_be_khan,_that_you_would_restore_an_anicent_right._From_the_days_of_the_old_emperors,_the_men_of_the_steppes_have_enjoyed_the_right_to_bring_their_flocks_to_new_pastures_or_to_market,_which_necessarily_involves_the_crossing_of_lands_owned_by_the_great_lords_of_this_realm.
str_npc6_kingsupport_2 I_would._I_would_tell_anyone_who_listens_of_your_deeds_on_behalf_of_the_weak_and_helpless,_of_your_ability_to_lead_men_against_great_odds_and_triumph,_and_tell_them_that_if_you_were_to_become_{king/queen},_there_would_be_one_law_and_one_peace_--_from_the_Rhodok_highlands_to_the_Vaegir_wastes,_from_the_high_steppe_to_the_Nordic_shore.
str_npc7_kingsupport_2 Yes,_captain,_I_would._A_{king/queen}'s_duty_is_to_keep_the_roads_safe_for_decent_folk,_make_it_so_a_woman_can_gather_the_firewood_or_draw_the_water_without_being_accosted_by_some_drooling,_scabby_ape_of_an_outlaw._Anyway,_you've_split_the_skulls_of_a_number_of_such_brutes_in_your_time._Men_would_fear_to_even_meet_the_eyes_of_a_woman_on_the_road,_if_you_were_{king/queen}.
str_npc8_kingsupport_2 I_would_--_on_one_condition._You'd_be_king_in_Praven_or_Sargoth_or_wherever_you_want_to_rule,_but_I'd_rule_my_own_hall._And_if_I_had_a_dispute_with_any_other_of_your_thegns,_be_it_over_land,_livestock,_or_blood,_you'd_let_us_settle_it_sword_to_sword,_according_to_the_old_ways,_and_let_the_heavens_decide_who_is_in_the_right.
str_npc9_kingsupport_2 I_would,_sir,_and_others_would_too._But_here's_what_I_think_--_you_need_to_show_the_noble_lords_that_you'll_uphold_their_ancient_rights._Right_now,_Europe's_a_mess_--_the_lord_owns_the_land,_except_it's_the_king_who_owns_the_forest,_but_the_city_has_the_right_to_levee_tax_at_its_gates,_and_the_commons_can_use_the_pastures_on_odd_Tuesdays,_except_in_Dijon_when_it's_Wednesday._Who_can_remember?_So_I_say_you_make_things_simple,_like_it_was_in_the_old_days_--_first_the_{king/sovereign},_then_the_lords,_then_everyone_else.
str_npc10_kingsupport_2 Certainly,_{Brother/Sister}._But_I'd_ask_that_you_consider_a_thought_of_mine._If_you_became_{king/queen},_then_I'd_ask_you_open_your_court_to_the_common_folks,_and_not_just_to_the_lords_and_blue-bloods._I'd_ask_you_to_let_it_be_known_that_should_any_man_be_judged_and_sentenced,_that_he_have_the_right_to_appeal_to_you_directly._Right_now,_the_lords_have_the_right_--_I_say_every_man_in_Europe_should_have_it,_too.
